id,cityname,citycode,airportname,airportcode
1,Anaa,AAA,Anaa,AAA
2,Arrabury,AAB,Arrabury,AAB
3,"El Arish",AAC,International,AAC
4,Annaba,AAE,"Rabah Bitat",AAE
5,Apalachicola,AAF,Regional,AAF
6,Arapoti,AAG,"Avelino Vieira",AAG
7,Aachen,AAH,Merzbrueck,AAH
8,Arraias,AAI,Arraias,AAI
9,Awaradam,AAJ,Cajana,AAJ
10,Aranuka,AAK,Aranuka,AAK
11,Aalborg,AAL,Airport,AAL
12,"Mala Mala",AAM,"Mala Mala",AAM
13,"Al Ain",AAN,International,AAN
14,Anaco,AAO,Anaco,AAO
15,Anapa,AAQ,Vityazevo,AAQ
16,Aarhus,AAR,Airport,AAR
17,Apalapsili,AAS,Apalapsili,AAS
18,Altay,AAT,Altay,AAT
19,Asau,AAU,Asau,AAU
20,Surallah,AAV,"Allah Valley",AAV
21,Araxa,AAX,Araxa,AAX
22,"Al Ghaydah",AAY,"Al Ghaydah",AAY
23,Quetzaltenango,AAZ,Quetzaltenango,AAZ
24,Abakan,ABA,Abakan,ABA
25,Asaba,ABB,International,ABB
26,Albacete,ABC,Airport,ABC
27,Abadan,ABD,Abadan,ABD
28,Allentown,ABE,"Lehigh Valley Intl",ABE
29,Abaiang,ABF,Abaiang,ABF
30,"Abingdon Downs",ABG,"Abingdon Downs",ABG
31,Alpha,ABH,Alpha,ABH
32,Abilene,ABI,Regional,ABI
33,Abilene,ABI,"Dyess AFB",DYS
34,Abidjan,ABJ,"Felix Houphouet-Boigny",ABJ
35,"Kebri Dehar",ABK,"Kebri Dehar",ABK
36,Ambler,ABL,Ambler,ABL
37,Bamaga,ABM,"Northern Peninsula",ABM
38,Albina,ABN,Albina,ABN
39,Aboisso,ABO,Aboisso,ABO
40,Atkamba,ABP,Atkamba,ABP
41,Albuquerque,ABQ,"International Sunport",ABQ
42,Aberdeen,ABR,Regional,ABR
43,"Abu Simbel",ABS,"Abu Simbel",ABS
44,"Al Baha",ABT,Al-Aqiq,ABT
45,Atambua,ABU,Haliwen,ABU
46,Abuja,ABV,"Nnamdi Azikiwe Intl",ABV
47,Abau,ABW,Abau,ABW
48,Albury,ABX,Albury,ABX
49,Albany,ABY,"Southwest Georgia Rgnl",ABY
50,Aberdeen,ABZ,Dyce,ABZ
51,Acapulco,ACA,"Juan N. Alvarez Intl",ACA
52,Bellaire,ACB,"Antrim County",ACB
53,Accra,ACC,"Kotoka Intl",ACC
54,Acandi,ACD,"Alcides Fernandez",ACD
55,Lanzarote,ACE,Lanzarote,ACE
56,Altenrhein,ACH,"St Gallen-Altenrhein",ACH
57,Alderney,ACI,Alderney,ACI
58,Anuradhapura,ACJ,Anuradhapura,ACJ
59,Nantucket,ACK,Memorial,ACK
60,Aguaclara,ACL,Aguaclara,ACL
61,Arica,ACM,Arica,ACM
