Search results for "A"
CITY NAME	3-LETTER CITY CODE	AIRPORT NAME	3-LETTER AIRPORT CODE
Aachen	AAH	Merzbrueck	AAH
Aalborg	AAL	Airport	AAL
Aarhus	AAR	Airport	AAR
Aba/Hongyuan	AHJ	Aba/Hongyuan	AHJ
Abadan	ABD	Abadan	ABD
Abaiang	ABF	Abaiang	ABF
Abakan	ABA	Abakan	ABA
Abau	ABW	Abau	ABW
Abeche	AEH	Abeche	AEH
Abemama	AEA	Abemama	AEA
Aberdeen	ABR	Regional	ABR
Aberdeen	ABZ	Dyce	ABZ
Aberdeen	APG	Phillips AAF	APG
Abha	AHB	Abha	AHB
Abidjan	ABJ	Felix Houphouet-Boigny	ABJ
Abilene	ABI	Metropolitan Area	ABI
Abilene	ABI	Regional	ABI
Abilene	ABI	Dyess AFB	DYS
Abingdon Downs	ABG	Abingdon Downs	ABG
Aboisso	ABO	Aboisso	ABO
Abou Deia	AOD	Abou Deia	AOD
Abu Dhabi	AUH	Metropolitan Area	AUH
Abu Dhabi	AUH	International	AUH
Abu Dhabi	AUH	Yas Island SPB	AYM
Abu Dhabi	AUH	Bateen	AZI
Abu Dhabi	AUH	Al Dhafra AB	DHF
Abu Musa Island	AEU	Abu Musa Island	AEU
Abu Rudeis	AUE	Abu Rudeis	AUE
Abu Simbel	ABS	Abu Simbel	ABS
Abuja	ABV	Nnamdi Azikiwe Intl	ABV
Acandi	ACD	Alcides Fernandez	ACD
Acapulco	ACA	Juan N. Alvarez Intl	ACA
Acaricuara	ARF	Acaricuara	ARF
Acarigua	AGV	Oswaldo Guevara Mujica	AGV
Accra	ACC	Kotoka Intl	ACC
Achinsk	ACS	Achinsk	ACS
Achutupo	ACU	Achutupo	ACU
Ada	ADT	Municipal	ADT
Adak Island	ADK	Adak Island	ADK
Adam	AOM	Adam	AOM
Adana	ADA	Sakirpasa	ADA
Adana	ADA	Incirlik AB	UAB
Adareil	AEE	Adareil	AEE
Addeain	ADV	Addeain	ADV
Addis Ababa	ADD	Bole Intl	ADD
Adelaide	ADL	International	ADL
Aden	ADE	International	ADE
Adiyaman	ADF	Adiyaman	ADF
Adrar	AZR	Touat	AZR
Adrian	ADG	Lenawee County	ADG
Afore	AFR	Afore	AFR
Afton	AFO	Municipal	AFO
Afutara	AFT	Afutara	AFT
Afyon	AFY	Afyon	AFY
Agadez	AJY	Manu Dayak Intl	AJY
Agadir	AGA	Al Massira	AGA
Agatti Island	AGX	Agatti Island	AGX
Agaun	AUP	Agaun	AUP
Agen	AGF	La Garenne	AGF
Aggeneys	AGZ	Aggeneys	AGZ
Aghajari	AKW	Aghajari	AKW
Agnew	AGW	Agnew	AGW
Agra	AGR	Agra	AGR
Agri	AJI	Agri	AJI
Agrinion	AGQ	G.Karaiskakis	AGQ
Aguaclara	ACL	Aguaclara	ACL
Aguascalientes	AGU	Jesus Teran Peredo Int	AGU
Aguni	AGJ	Aguni	AGJ
Ahe	AHE	Ahe	AHE
Ahmedabad	AMD	S.VallabhBhai Patel	AMD
Ahuas	AHS	Ahuas	AHS
Ahwaz	AWZ	Ahwaz	AWZ
Ai-Ais	AIW	Ai-Ais	AIW
Aiambak	AIH	Aiambak	AIH
Aiken	AIK	Municipal	AIK
Ailigandi	AIL	Ailigandi	AIL
Ailuk Island	AIM	Ailuk Island	AIM
Ainsworth	ANW	Regional	ANW
Aiome	AIE	Aiome	AIE
Aioun el Atrouss	AEO	Aioun El Atrouss	AEO
Airok	AIC	Ailinglapalap	AIC
Aishalton	AHL	Aishalton	AHL
Aitape	ATP	Metropolitan Area	ATP
Aitape	ATP	Aitape Airstrip	ATP
Aitape	ATP	Tadji	TAJ
Aitutaki Island	AIT	Aitutaki Island	AIT
Aiyura	AYU	Aiyura	AYU
Aizawl	AJL	Lengpui	AJL
Ajaccio	AJA	Napoleon Bonaparte	AJA
Akhiok	AKK	Akhiok	AKK
Akiak	AKI	Akiak	AKI
Akieni	AKE	Akieni	AKE
Akita	AXT	Akita	AXT
Akjoujt	AJJ	Akjoujt	AJJ
Akola	AKD	Akola	AKD
Akron	AKO	Colorado Plains Rgnl	AKO
Akron/Canton	CAK	Akron Fulton Intl	AKC
Akrotiri	AKT	RAF Station	AKT
Aksu	AKU	Aksu	AKU
Aktobe	AKX	Aktobe	AKX
Akulivik	AKV	Akulivik	AKV
Akure	AKR	Akure	AKR
Akureyri	AEY	Akureyri	AEY
Al Ain	AAN	International	AAN
Al Baha	ABT	Al-Aqiq	ABT
Al Ghaydah	AAY	Al Ghaydah	AAY
Al Hoceima	AHU	Cherif El Idrissi	AHU
Al Kharj	AKH	Prince Sultan AB	AKH
Alakanuk	AUK	Alakanuk	AUK
Alamogordo	ALM	Metropolitan Area	ALM
Alamogordo	ALM	White Sands Regional	ALM
Alamogordo	ALM	Holloman AFB	HMN
Alamosa	ALS	San Luis Valley Rgnl	ALS
Albacete	ABC	Airport	ABC
Albany	ABY	Southwest Georgia Rgnl	ABY
Albany	ALB	International	ALB
Albany	ALH	Albany	ALH
Albenga	ALL	Albenga	ALL
Albert Lea	AEL	Municipal	AEL
Albina	ABN	Albina	ABN
Albuquerque	ABQ	International Sunport	ABQ
Albury	ABX	Albury	ABX
Aldan	ADH	Aldan	ADH
Alderney	ACI	Alderney	ACI
Alegrete	ALQ	G.Machado Ramos	ALQ
Alenquer	ALT	Alenquer	ALT
Aleppo	ALP	International	ALP
Alerta	ALD	Alerta	ALD
Alesund	AES	Vigra	AES
Alexander Bay	ALJ	Alexander Bay	ALJ
Alexander City	ALX	Thomas C Russell Field	ALX
Alexandra	ALR	Alexandra	ALR
Alexandria	AEX	Metropolitan Area	AEX
Alexandria	AEX	International	AEX
Alexandria	AEX	Esler Regional	ESF
Alexandria	ALY	Metropolitan Area	ALY
Alexandria	ALY	El Nouzha	ALY
Alexandria	ALY	Borg el Arab	HBE
Alexandria	AXN	Chandler Field	AXN
Alexandria Bay	AXB	Maxson Airfield	AXB
Alexandria Station	AXL	Alexandria Station	AXL
Alexandroupolis	AXD	Dimokritos	AXD
Alghero	AHO	Fertilia	AHO
Algiers	ALG	Houari Boumediene	ALG
Algona	AXG	Municipal	AXG
Ali Sabieh	AII	Ali Sabieh	AII
Alicante	ALC	Airport	ALC
Alice	ALI	International	ALI
Alice Springs	ASP	Airport	ASP
Aliceville	AIV	George Downer	AIV
Alitak	ALZ	Sea Plane Base	ALZ
Allakaket	AET	Allakaket	AET
Alldays	ADY	Alldays	ADY
Allentown	ABE	Lehigh Valley Intl	ABE
Alliance	AIA	Municipal	AIA
Alma	AMN	Gratiot Community	AMN
Almaty	ALA	International	ALA
Almaty	ALA	Borolday	BXJ
Almenara	AMJ	Cirilo Queiroz	AMJ
Alor	ARD	Mali	ARD
Alor Setar	AOR	Sultan Abdul Halim	AOR
Alowe	AWE	Alowe	AWE
Alpena	APN	Alpena County Regional	APN
Alpha	ABH	Alpha	ABH
Alpine	ALE	Casparis Municipal	ALE
Alroy Downs	AYD	Alroy Downs	AYD
Alta	ALF	Alta	ALF
Alta Floresta	AFL	Oswaldo Marques Dias	AFL
Altamira	ATM	Altamira	ATM
Altay	AAT	Altay	AAT
Altenburg	AOC	Nobitz	AOC
Altenrhein	ACH	St Gallen-Altenrhein	ACH
Alto Molocue	AME	Alto Molocue	AME
Alto Parnaiba	APY	Alto Parnaiba	APY
Alto Rio Senguer	ARR	Alto Rio Senguer	ARR
Alton	ALN	St Louis Regional	ALN
Alton Downs	AWN	Alton Downs	AWN
Altoona	AOO	Altoona	AOO
Altus	LTS	Quartz Moutain Rgnl	AXS
Alula	ALU	Alula	ALU
Alverca	AVR	Alverca	AVR
Alxa Left Banner	AXF	Alxa Left Banner	AXF
Am Timan	AMC	Am Timan	AMC
Ama	AMF	Ama	AMF
Amahai	AHI	Amahai	AHI
Amakusa	AXJ	Amakusa	AXJ
Amalfi	AFI	Amalfi	AFI
Amami	ASJ	Amami	ASJ
Amanab	AMU	Amanab	AMU
Amarillo	AMA	Metropolitan Area	AMA
