Search results for "B"
CITY NAME	3-LETTER CITY CODE	AIRPORT NAME	3-LETTER AIRPORT CODE
Aguadilla	BQN	Rafael Hernandez	BQN
Al Bayda	BYD	Al Bayda	BYD
Al Buq	BUK	Al Buq	BUK
Albert	BYF	Bray	BYF
Almaty	ALA	Borolday	BXJ
Bacau	BCM	Bacau	BCM
Bacolod	BCD	Silay International	BCD
Badajoz	BJZ	Airport	BJZ
Bade	BXD	Bade	BXD
Badin	BDN	Talhar	BDN
Badu Island	BDD	Badu Island	BDD
Bafoussam	BFX	Bafoussam	BFX
Baganga	BNQ	Baganga	BNQ
Bagani	BQI	Bagani	BQI
Bagdad	BGT	Bagdad	BGT
Bage	BGX	Gustavo Kraemer	BGX
Baghdad	BGW	International	BGW
Baglung	BGL	Balewa	BGL
Baguio	BAG	Loakan	BAG
Bahar Dar	BJR	Bahar Dar	BJR
Bahawalpur	BHV	Bahawalpur	BHV
Bahia Blanca	BHI	Comandante Espora	BHI
Bahia de Caraquez	BHA	Los Perales	BHA
Bahia de los Angeles	BHL	Bahia de los Angeles	BHL
Bahia Negra	BFA	Bahia Negra	BFA
Bahia Pina	BFQ	Bahia Pina	BFQ
Bahia Solano	BSC	Jose Celestino Mutis	BSC
Bahja	BJQ	Bahja	BJQ
Bahrain	BAH	International	BAH
Baia Mare	BAY	Baia Mare	BAY
Baibara	BAP	Baibara	BAP
Baidoa	BIB	Baidoa	BIB
Bainbridge	BGE	Decatur Co Ind. Air Pk	BGE
Baindoung	BDZ	Baindoung	BDZ
Bairnsdale	BSJ	Bairnsdale	BSJ
Baitadi	BIT	Patan	BIT
Bajawa	BJW	Soa	BJW
Bajhang	BJH	Bajhang	BJH
Bajone	BJN	Bajone	BJN
Bajura	BJU	Bajura	BJU
Bakel	BXE	Bakel	BXE
Bakelalan	BKM	Bakelalan	BKM
Baker City	BKE	Municipal	BKE
Bakersfield	BFL	Meadows Field	BFL
Bakkafjordur	BJD	Bakkafjordur	BJD
Bakouma	BMF	Bakouma	BMF
Baku	BAK	Metropolitan Area	BAK
Baku	BAK	Heydar Aliyev Intl	GYD
Baku	BAK	Zabrat	ZXT
Balakovo	BWO	Balakovo	BWO
Balalae	BAS	Balalae	BAS
Balboa	BLB	Panama Pacifico	BLB
Baleela	BJE	Baleela	BJE
Baler	BQA	Dr. Juan C. Angara	BQA
Balgo Hill	BQW	Balgo Hill	BQW
Bali	BAJ	Bali	BAJ
Bali	BLC	Bali	BLC
Balikesir	BZI	Balikesir	BZI
Balikpapan	BPN	Sepinggan	BPN
Balkanabat	BKN	Balkanabat	BKN
Balkhash	BXH	Balkhash	BXH
Ballera	BBL	Ballera	BBL
Ballina	BNK	Byron Gateway	BNK
Ballykelly	BOL	Ballykelly	BOL
Balmaceda	BBA	Balmaceda	BBA
Balranald	BZD	Balranald	BZD
Balsas	BSS	Balsas	BSS
Balti	BZY	International	BZY
Baltimore	BWI	Metropolitan Area	BWI
Baltimore	BWI	Baltimore/Wash. Intl	BWI
Baltimore	BWI	Martin State	MTN
Baltrum	BMR	Baltrum	BMR
Bam	BXR	Bam	BXR
Bamako	BKO	Senou Intl	BKO
Bamarni	BMN	Bamarni	BMN
Bambari	BBY	Bambari	BBY
Bambu	BCP	Bambu	BCP
Bamburi	BMQ	Bamburi	BMQ
Bamenda	BPC	Bamenda	BPC
Bamu	BMZ	Bamu	BMZ
Bamyan	BIN	Bamyan	BIN
Banda Aceh	BTJ	Sultan Iskandar Muda	BTJ
Bandar Abbas	BND	International	BND
Bandar Lengeh	BDH	Bandar Lengeh	BDH
Bandar Seri Begawan	BWN	Brunei International	BWN
Bandirma	BDM	Bandirma	BDM
Bandon	BDY	State	BDY
Bandung	BDO	Husein Sastranegara	BDO
Banfora	BNR	Banfora	BNR
Bangassou	BGU	Bangassou	BGU
Bangkok	BKK	Metropolitan Area	BKK
Bangkok	BKK	Suvarnabhumi Int'l	BKK
Bangkok	BKK	Don Mueang Int'l	DMK
Bangor	BGR	International	BGR
Bangui	BGF	Mpoko Intl	BGF
Baniyala	BYX	Baniyala	BYX
Banja Luka	BNX	International	BNX
Banjarmasin	BDJ	Syamsudin Noor	BDJ
Banjul	BJL	International	BJL
Banning	BNG	Municipal	BNG
Bannu	BNP	Bannu	BNP
Bantry	BYT	Bantry	BYT
Banyuwangi	BWX	Blimbingsari	BWX
Banz	BNZ	Banz	BNZ
Baoshan	BSD	Baoshan	BSD
Baotou	BAV	Erliban	BAV
Bapi	BPD	Bapi	BPD
Bar Harbor	BHB	Hancock County	BHB
Baracoa	BCA	Gustavo Rizo	BCA
Barahona	BRX	Maria Montez Intl	BRX
Baramita	BMJ	Baramita	BMJ
Baranof	BNF	Warm Spring Bay SPB	BNF
Barbuda	BBQ	Codrington	BBQ
Barcaldine	BCI	Barcaldine	BCI
Barcelona	BCN	Airport	BCN
Barcelona	BLA	J.A. Anzoategui Intl	BLA
Barcelonnette	BAE	St-Pons	BAE
Barcelos	BAZ	Barcelos	BAZ
Bardera	BSY	Bardera	BSY
Bardstown	BRY	Samuels Field	BRY
Bardufoss	BDU	Bardufoss	BDU
Bareilly	BEK	Bareilly	BEK
Bari	BRI	Palese	BRI
Barimunya	BYP	Barimunya	BYP
Barinas	BNS	Barinas	BNS
Bario	BBN	Bario	BBN
Barisal	BZL	Barisal	BZL
