Search results for "F"
CITY NAME	3-LETTER CITY CODE	AIRPORT NAME	3-LETTER AIRPORT CODE
Anchorage	ANC	Bryant AAF	FRN
Apia	APW	Fagali'i	FGI
Atlanta	ATL	Fulton County	FTY
Bandundu	FDU	Bandundu	FDU
Bishkek	FRU	Manas Intl	FRU
Colorado Springs	COS	Fort Carson/Butts AAF	FCS
Cuamba	FXO	Cuamba	FXO
Cuxhaven	FCN	Nordholz	FCN
Dayton	DAY	Wright-Patterson AFB	FFO
El Calafate	FTE	Comandante A. Tola	FTE
Faaite	FAC	Faaite	FAC
Fada N'Gourma	FNG	Fada N'Gourma	FNG
Fagurholsmyri	FAG	Fagurholsmyri	FAG
Fahud	FAU	Fahud	FAU
Fair Isle	FIE	Fair Isle	FIE
Fairbanks	FAI	Eielson AFB	EIL
Fairbanks	FAI	Metropolitan Area	FAI
Fairbanks	FAI	International	FAI
Fairbanks	FAI	Ladd AAF	FBK
Fairbanks	FAI	Metro Field	MTX
Fairbury	FBY	Municipal	FBY
Fairfield	FFL	Municipal	FFL
Fairford	FFD	RAF Station	FFD
Fairmont	FRM	Municipal	FRM
Faizabad	FBD	Faizabad	FBD
Fajardo	FAJ	Diego Jimenez Torres	FAJ
Fak Fak	FKQ	Torea	FKQ
Fakahina	FHZ	Fakahina	FHZ
Fakarava	FAV	Fakarava	FAV
Fallon	NFL	Municipal	FLX
Falmouth	FMH	Cape Cod Coast Guard	FMH
False Island	FAK	Sea Plane Base	FAK
Fane	FNE	Fane	FNE
Fangatau	FGU	Fangatau	FGU
Farah	FAH	Farah	FAH
Faranah	FAA	Badala	FAA
Farewell	FWL	Farewell	FWL
Fargo	FAR	Hector Intl	FAR
Faribault	FBL	Municipal	FBL
Farmingdale	FRG	Republic	FRG
Farmington	FAM	Regional	FAM
Farmington	FMN	Four Corners Regional	FMN
Farnborough	FAB	Farnborough	FAB
Faro	FAO	Airport	FAO
Faroe Islands	FAE	Vagar	FAE
Fasa	FAZ	Fasa	FAZ
Faskrudsfjordur	FAS	Faskrudsfjordur	FAS
Faya-Largeau	FYT	Faya-Largeau	FYT
Fayetteville	FAY	Regional (Grannis Fld)	FAY
Fayetteville	FYM	Municipal	FYM
Fayetteville/Springd.	FYV	Metropolitan Area	FYV
Fayetteville/Springd.	FYV	Drake Field	FYV
Fayetteville/Springd.	FYV	Springdale Municipal	SPZ
Fayetteville/Springd.	FYV	Northwest Arkansas Rgn	XNA
Fderik	FGD	Fderik	FGD
Feijo	FEJ	Feijo	FEJ
Feira de Santana	FEC	Joao Durval Carneiro	FEC
Fera Island	FRE	Fera Island	FRE
Feramin	FRQ	Feramin	FRQ
Fergana	FEG	International	FEG
Fergus Falls	FFM	Municipal	FFM
Ferkessedougou	FEK	Ferkessedougou	FEK
Fernando de Noronha	FEN	Fernando de Noronha	FEN
Fes	FEZ	Saiss	FEZ
Fetlar	FEA	Fetlar	FEA
Ficksburg	FCB	Ficksburg	FCB
Figari	FSC	Sud-Corse	FSC
Filadelfia	FLM	Filadelfia	FLM
Fillmore	FIL	Municipal	FIL
Filton	FZO	Filton	FZO
Fincha'a	FNH	Fincha'a	FNH
Findlay	FDY	Findlay	FDY
Finke	FIK	Finke	FIK
Finley	FLY	Finley	FLY
Finschhafen	FIN	Finschhafen	FIN
Fishers Island	FID	Elizabeth Field	FID
Fitiuta	FTI	Fitiuta	FTI
Fitzroy Crossing	FIZ	Fitzroy Crossing	FIZ
Flat	FLT	Flat	FLT
Flateyri	FLI	Holt	FLI
Flensburg	FLF	Schaeferhaus	FLF
Flinders Island	FLS	Flinders Island	FLS
Flint	FNT	Bishop Intl	FNT
Flippin	FLP	Marion County Regional	FLP
Flora Valley	FVL	Flora Valley	FVL
