Search results for "G"
CITY NAME	3-LETTER CITY CODE	AIRPORT NAME	3-LETTER AIRPORT CODE
Alotau	GUR	Gurney	GUR
Argyle	GYL	Argyle	GYL
Atyrau	GUW	Atyrau	GUW
Baku	BAK	Heydar Aliyev Intl	GYD
Baltra Island	GPS	Seymour	GPS
Bartica	GFO	Bartica	GFO
Ben Slimane	GMD	Ben Slimane	GMD
Boigu Island	GIC	Boigu Island	GIC
Breda	GLZ	Gilze-Rijen AB	GLZ
Centerville	GHM	Municipal	GHM
Chicago	CHI	Gary/Chicago Intl	GYY
Columbus	UBS	Golden Triangle Rgnl	GTR
Coyhaique	GXQ	Teniente Vidal	GXQ
Electric City	GCD	Grand Coulee Dam	GCD
Gabala	GBB	International	GBB
Gabbs	GAB	Gabbs	GAB
Gabes	GAE	Matmata	GAE
Gaborone	GBE	Sir Seretse Khama Intl	GBE
Gachsaran	GCH	Gachsaran	GCH
Gadsden	GAD	Northeast Alabama Rgnl	GAD
Gafsa	GAF	Ksar	GAF
Gag Island	GAV	Gag Island	GAV
Gage	GAG	Gage	GAG
Gagnoa	GGN	Gagnoa	GGN
Gainesville	GLE	Municipal	GLE
Gainesville	GNV	Regional	GNV
Gainesville	GVL	Lee Gilmer Memorial	GVL
Gaithersburg	GAI	Montgomery Co Airpark	GAI
Galbraith Lake	GBH	Galbraith Lake	GBH
Galcaio	GLK	Galcaio	GLK
Galela	GLX	Gamarmalamo	GLX
Galena	GAL	Edward G. Pitka Sr.	GAL
Galesburg	GBG	Municipal	GBG
Galion	GQQ	Municipal	GQQ
Gallivare	GEV	Gallivare	GEV
Gallup	GUP	Municipal	GUP
Galveston	GLS	Sholes Intl	GLS
Galway	GWY	Galway	GWY
Gamarra	GRA	Gamarra	GRA
Gamba	GAX	Yenzi	GAX
Gambela	GMB	Gambela	GMB
Gambell	GAM	Gambell	GAM
Gamboma	GMM	Gamboma	GMM
Gamboola	GBP	Gamboola	GBP
Gan Island	GAN	International	GAN
Gandajika	GDJ	Gandajika	GDJ
Gangaw	GAW	Gangaw	GAW
Gao	GAQ	Korogoussou	GAQ
