Search results for "H"
CITY NAME	3-LETTER CITY CODE	AIRPORT NAME	3-LETTER AIRPORT CODE
Alamogordo	ALM	Holloman AFB	HMN
Alexandria	ALY	Borg el Arab	HBE
Analalava	HVA	Analalava	HVA
Batesville	HLB	Batesville	HLB
Baytown	HPY	Baytown	HPY
Big Spring	HCA	McMahon-Wrinkle	HCA
Blytheville	BYH	Municipal	HKA
Bulgan (Khovd)	HBU	Bulgan (Khovd)	HBU
Camp Mackall	HFF	Mackall AAF	HFF
Cheraw	HCW	Municipal	HCW
Chesapeake	HTW	Lawrence Co. Airpark	HTW
Chita	HTA	Kadala	HTA
Chos Malal	HOS	Chos Malal	HOS
Delingha	HXD	Delingha	HXD
East Hampton	HTO	East Hampton	HTO
Eil	HCM	Eil	HCM
Entrance Island	HBH	Sea Plane Base	HBH
Fort MacKay	HZP	Horizon	HZP
Fort MacKay	HZP	Albian	JHL
Fort MacKay	HZP	Firebag	YFI
Frankfurt	FRA	Hahn	HHN
Freetown	FNA	Hastings	HGS
Ha'apai	HPA	Lifuka	HPA
Habi	HBD	Habi	HBD
Hachijojima	HAC	Hachijojima	HAC
Hachinohe	HHE	Air Base	HHE
Haelogo	HEO	Haelogo	HEO
Hagerstown	HGR	Regional	HGR
Hagfors	HFS	Hagfors	HFS
Haifa	HFA	Haifa	HFA
Haikou	HAK	Meilan Intl	HAK
Hail	HAS	Hail	HAS
Hailar	HLD	Dongshan	HLD
Haines	HNS	Haines	HNS
Haiphong	HPH	Cat Bi Intl	HPH
Haivaro	HIT	Haivaro	HIT
Hakodate	HKD	Hakodate	HKD
Halali	HAL	Halali	HAL
Half Moon Bay	HAF	Half Moon Bay	HAF
Halls Creek	HCQ	Halls Creek	HCQ
Halmstad	HAD	Halmstad	HAD
Hamadan	HDM	Hamadan	HDM
Hamar	HMR	Stafsberg	HMR
Hambantota	HRI	SPB	HBT
Hambantota	HRI	Mattala Rajapaksa Intl	HRI
Hamburg	HAM	Metropolitan Area	HAM
Hamburg	HAM	Hamburg Airport	HAM
Hamburg	HAM	Luebeck-Blankensee	LBC
Hamburg	HAM	Finkenwerder	XFW
Hami	HMI	Hami	HMI
Hamilton	HAB	Marion Co. Rankin Fite	HAB
Hamilton	HAO	Butler County Regional	HAO
Hamilton	HLT	Hamilton	HLT
Hamilton	HLZ	International	HLZ
Hamilton Island	HTI	Great Barrier Reef	HTI
Hammerfest	HFT	Hammerfest	HFT
Hampton	HPT	Municipal	HPT
Hana	HNM	Hana	HNM
Hanalei	HPV	Princeville	HPV
Hanamaki	HNA	Hanamaki	HNA
Handan	HDG	Handan	HDG
Hangzhou	HGH	Xiaoshan Intl	HGH
Hanimaadhoo Island	HAQ	Hanimaadhoo Island	HAQ
Hanksville	HVE	Hanksville	HVE
Hannover	HAJ	Metropolitan Area	HAJ
Hannover	HAJ	Airport	HAJ
Hanoi	HAN	Noi Bai Intl	HAN
Hanzhong	HZG	Chenggu	HZG
Hao	HOI	Hao	HOI
Harare	HRE	International	HRE
Harbin	HRB	Taiping Intl	HRB
Hargeisa	HGA	Egal Intl	HGA
Harlingen	HRL	Valley International	HRL
Harrisburg	HAR	Metropolitan Area	HAR
Harrisburg	HAR	Capital City	HAR
Harrisburg	HAR	International	MDT
Harrisburg	HSB	Raleigh	HSB
Harrismith	HRS	Harrismith	HRS
Harrison	HRO	Boone County	HRO
Harrogate	HRT	Linton-on-Ouse RAF	HRT
Hartford	HFD	Bradley International	BDL
Hartford	HFD	Metropolitan Area	HFD
Hartford	HFD	Brainard	HFD
Hartsville	HVS	Regional	HVS
Haskovo	HKV	Malevo	HKV
Hassi Messaoud	HME	Oued Irara	HME
Hassi R'mel	HRM	Tilrempt	HRM
Hastings	HSI	Municipal	HSI
Hasvik	HAA	Hasvik	HAA
Hat Yai	HDY	International	HDY
Hatay	HTY	Hatay	HTY
Hateruma	HTR	Hateruma	HTR
Hato Corozal	HTZ	Hato Corozal	HTZ
Hatteras	HNC	Billy Mtchell	HNC
Hattiesburg/Laurel	LUL	Bobby L. Chain Muni	HBG
Hatzfeldthaven	HAZ	Hatzfeldthaven	HAZ
Haugesund	HAU	Karmoy	HAU
Havadarya	HDR	Havadarya	HDR
Havana	HAV	Jose Marti Intl	HAV
Havana	HAV	Playa Baracoa	UPB
Haverfordwest	HAW	Haverfordwest	HAW
Havre	HVR	City-County	HVR
Hawabango	HWA	Hawabango	HWA
Hawk Inlet	HWI	Sea Plane Base	HWI
Hawker	HWK	Hawker	HWK
Hawthorne	HHR	Municipal	HHR
Hawthorne	HTH	Industrial	HTH
Hay	HXX	Hay	HXX
Hayden	HDN	Yampa Valley	HDN
