Search results for "I"
CITY NAME	3-LETTER CITY CODE	AIRPORT NAME	3-LETTER AIRPORT CODE
Agartala	IXA	Agartala	IXA
Al Asad	IQA	Air Base	IQA
Allahabad	IXD	Allahabad	IXD
Along	IXV	Along	IXV
Ambanja	IVA	Ampampamena	IVA
Aurangabad	IXU	Aurangabad	IXU
Bagdogra	IXB	Bagdogra	IXB
Bahregan	IAQ	Bahregan	IAQ
Belgaum	IXG	Sambre	IXG
Berane	IVG	Dolac	IVG
Birao	IRO	Birao	IRO
Bullhead City	IFP	Laughlin/Bullhead Intl	IFP
Cascade	ICS	Cascade	ICS
Chandigarh	IXC	Chandigarh	IXC
Chigorodo	IGO	Jaime Ortis Betancur	IGO
Chilonzuine Island	IDC	Chilonzuine Island	IDC
Chinde	INE	Chinde	INE
Chivolo	IVO	Chivolo	IVO
Cicia Island	ICI	Cicia Island	ICI
Circle	IRC	Circle City	IRC
Clarinda	ICL	Schenck Field	ICL
Del Carmen (Siargao)	IAO	Sayak	IAO
Easter Island	IPC	Mataveri Intl	IPC
Esfahan	IFN	Shahid Beheshti Intl	IFN
Foz do Iguacu	IGU	Cataratas Intl	IGU
Grangeville	IDH	Idaho County	IDH
Hesa	IFH	Hesa	IFH
Hilo	ITO	International	ITO
Houston	HOU	George Bush Intercont.	IAH
Houston	HOU	West Houston	IWS
Iamalele	IMA	Iamalele	IMA
Iasi	IAS	Iasi	IAS
Iaura	IAU	Iaura	IAU
Ibadan	IBA	Ibadan	IBA
Ibague	IBE	Perales	IBE
Ibaraki	IBR	Ibaraki	IBR
Iberia	IBP	Iberia	IBP
Ibiza	IBZ	Ibiza	IBZ
Ibo	IBO	Ibo	IBO
Iboki	IBI	Iboki	IBI
Icabaru	ICA	Icabaru	ICA
Icy Bay	ICY	Icy Bay	ICY
Ida Grove	IDG	Municipal	IDG
Idaho Falls	IDA	Regional	IDA
Idiofa	IDF	Idiofa	IDF
Idre	IDB	Idre	IDB
Iejima	IEJ	Iejima	IEJ
Iffley	IFF	Iffley	IFF
Ifuru	IFU	Ifuru	IFU
Igarka	IAA	Igarka	IAA
Igdir	IGD	Igdir	IGD
Igiugig	IGG	Igiugig	IGG
Igrim	IRM	Igrim	IRM
Iguazu	IGR	Cataratas del Iguazu	IGR
Iguela	IGE	Tchongorove	IGE
Ihosy	IHO	Ihosy	IHO
Ihu	IHU	Ihu	IHU
Ijui	IJU	J.Batista Bos Filho	IJU
Ikela	IKL	Ikela	IKL
Iki	IKI	Iki	IKI
Ilaka Atsinanana	ILK	Ilaka Atsinanana	ILK
Ilam	IIL	Ilam	IIL
Ile des Pins	ILP	Moue	ILP
Ile d'Yeu	IDY	Ile d'Yeu	IDY
Ileg	ILX	Ileg	ILX
Ilford	ILF	Ilford	ILF
Ilheus	IOS	Jorge Amado	IOS
Iliamna	ILI	Iliamna	ILI
Iligan	IGN	Maria Cristina	IGN
Illaga	ILA	Illaga	ILA
Illesheim	ILH	Illesheim	ILH
Ilo	ILQ	Ilo	ILQ
Iloilo	ILO	International	ILO
Ilorin	ILR	International	ILR
Ilu	IUL	Ilu	IUL
Imane	IMN	Imane	IMN
Imbaimadai	IMB	Imbaimadai	IMB
Immokalee	IMM	Regional	IMM
Imonda	IMD	Imonda	IMD
Imperatriz	IMP	Renato Moreira	IMP
Imperial	IML	Municipal	IML
Imperial/El Centro	IPL	Metropolitan Area	IPL
Imperial/El Centro	IPL	Imperial County	IPL
Imperial/El Centro	IPL	El Centro NAF	NJK
Impfondo	ION	Impfondo	ION
Imphal	IMF	Imphal	IMF
In Amenas	IAM	Zarzaitine	IAM
In Guezzam	INF	In Guezzam	INF
In Salah	INZ	In Salah	INZ
Inagua	IGA	Matthew Town	IGA
Inanwatan	INX	Inanwatan	INX
Indagen	IDN	Indagen	IDN
Independence	IDP	Municipal	IDP
Independence	INB	Independence	INB
Indian Springs	INS	Creech AFB	INS
Indiana	IDI	Indiana County	IDI
Indianapolis	IND	International	IND
Indigo Bay Lodge	IBL	Indigo Bay Lodge	IBL
Indore	IDR	Devi Ahilya Bai Holkar	IDR
Indulkana	IDK	Indulkana	IDK
Ine Island	IMI	Ine Island	IMI
Ingeniero Jacobacci	IGB	Ingeniero Jacobacci	IGB
Ingham	IGH	Ingham	IGH
Ingolstadt	IGS	Manching	IGS
Inhaca	IHC	Inhaca	IHC
Inhambane	INH	Inhambane	INH
Inhaminga	IMG	Inhaminga	IMG
Inisheer	INQ	Inisheer	INQ
Inishmaan	IIA	Inishmaan	IIA
Inishmore	IOR	Kilronan	IOR
Injune	INJ	Injune	INJ
Inkerman	IKP	Inkerman	IKP
Innamincka	INM	Innamincka	INM
Innisfail	IFL	Innisfail	IFL
Innsbruck	INN	Airport	INN
Inongo	INO	Inongo	INO
Inta	INA	Inta	INA
International Falls	INL	Falls International	INL
Inus	IUS	Inus	IUS
Invercargill	IVC	Invercargill	IVC
Inverell	IVR	Inverell	IVR
Inverness	INV	Airport	INV
Inverway	IVW	Inverway	IVW
Inyati	INY	Inyati	INY
Inyokern	IYK	Inyokern	IYK
Ioannina	IOA	King Pyrros	IOA
Iokea	IOK	Iokea	IOK
Ioma	IOP	Ioma	IOP
Iowa City	IOW	Municipal	IOW
Iowa Falls	IFA	Municipal	IFA
Ipatinga	IPN	Usiminas	IPN
Ipiales	IPI	San Luis	IPI
Ipiau	IPU	Ipiau	IPU
Ipil	IPE	Ipil	IPE
Ipiranga	IPG	Ipiranga	IPG
Ipoh	IPH	Sultan Azlan Shah	IPH
Ipota	IPA	Ipota	IPA
Iquique	IQQ	Diego Aracena	IQQ
Iquitos	IQT	F.Secada Vignetta	IQT
Iraan	IRB	Municipal	IRB
Iranamadu	IRU	SPB	IRU
Iranshahr	IHR	Iranshahr	IHR
Irece	IRE	Irece	IRE
Iringa	IRI	Iringa	IRI
Iriona	IRN	Iriona	IRN
Irkutsk	IKT	Irkutsk	IKT
Iron Mountain/Kingsfd.	IMT	Ford	IMT
Ironwood	IWD	Gogebic-Iron County	IWD
Isabela Island	IBB	General Villamil	IBB
Isafjordur	IFJ	Isafjordur	IFJ
Iscuande	ISD	Iscuande	ISD
Ishigaki	ISG	New Ishigaki	ISG
Ishurdi	IRD	Ishurdi	IRD
Isiro	IRP	Matari	IRP
Isisford	ISI	Isisford	ISI
Isla de Coche	ICC	A.M. Salazar Marcano	ICC
Isla Mujeres	ISJ	Isla Mujeres	ISJ
Islamabad	ISB	Benazir Bhutto Intl	ISB
Islay	ILY	Islay	ILY
Isle of Man	IOM	Ronaldsway	IOM
Isles of Scilly	ISC	Metropolitan Area	ISC
Isles of Scilly	ISC	St Mary's	ISC
Islip	ISP	Long Island MacArthur	ISP
Isparta	ISE	Suleyman Demirel	ISE
Istanbul	IST	Metropolitan Area	IST
Istanbul	IST	Ataturk	IST
Istanbul	IST	Sabiha Gokcen	SAW
Itabuna	ITN	Itabuna	ITN
Itacoatiara	ITA	Itacoatiara	ITA
Itaituba	ITB	Itaituba	ITB
Itambacuri	ITI	Fazenda Americana	ITI
Itaperuna	ITP	Itaperuna	ITP
Itaqui	ITQ	Itaqui	ITQ
Ithaca	ITH	Tompkins Regional	ITH
Itokama	ITK	Itokama	ITK
Itubera	ITE	Itubera	ITE
Itumbiara	ITR	F.Vilela do Amaral	ITR
Iturup Island	ITU	Burevestnik AFB	BVV
Iturup Island	ITU	Iturup	ITU
Ivalo	IVL	Ivalo	IVL
Ivano-Frankivsk	IFO	International	IFO
Ivanovo	IWA	Yuzhny	IWA
Iwakuni	IWK	Iwakuni	IWK
Iwoto (Iwo Jima)	IWO	Iwoto (Iwo Jima)	IWO
Ixtepec	IZT	Ixtepec	IZT
Izhevsk	IJK	Izhevsk	IJK
Izmir	IZM	Adnan Menderes	ADB
Izmir	IZM	Cigli AB	IGL
Izmir	IZM	Metropolitan Area	IZM
Izumo	IZO	Izumo	IZO
