Search results for "J"
CITY NAME	3-LETTER CITY CODE	AIRPORT NAME	3-LETTER AIRPORT CODE
Aasiaat	JEG	Aasiaat	JEG
Ankavandra	JVA	Ankavandra	JVA
Ashtabula	JFN	Northeast Ohio Rgnl	JFN
Astypalaia Island	JTY	Astypalaia Island	JTY
Bauru	JTC	Moussa Nakhl Tobias	JTC
Bethel	BET	Sea Plane Base	JBT
Chios	JKH	Omiros	JKH
Chizhou	JUH	Jiuhuashan	JUH
Chungju	JWO	Jungwon AB	JWO
Cooper Landing	JLA	Quartz Creek	JLA
Djibouti	JIB	Ambouli Intl	JIB
Duqm	DQM	Jaaluni	JNJ
Fort MacKay	HZP	Albian	JHL
Hope Bay	UZM	Doris Lake Ice A/P	JOJ
Ikaria Island	JIK	Ikaria Island	JIK
Ilulissat	JAV	Ilulissat	JAV
Jabalpur	JLR	Jabalpur	JLR
Jabiru	JAB	Jabiru	JAB
Jabot Island	JAT	Jabot Island	JAT
Jacareacanga	JCR	Jacareacanga	JCR
Jackson	JAC	Jackson Hole	JAC
Jackson	JAN	Hawkins Field	HKS
Jackson	JAN	Metropolitan Area	JAN
Jackson	JAN	Medgar W. Evers Intl	JAN
Jackson	JXN	Jackson County	JXN
Jacksonville	JAX	Executive (Craig)	CRG
Jacksonville	JAX	Metropolitan Area	JAX
Jacksonville	JAX	International	JAX
Jacksonville	JAX	Whitehouse NOLF	NEN
Jacksonville	JAX	NAS (Towers Field)	NIP
Jacksonville	JAX	Cecil	VQQ
Jacksonville	JKV	Cherokee County	JKV
Jacmel	JAK	Jacmel	JAK
Jacobabad	JAG	Jacobabad	JAG
Jacobina	JCM	Jacobina	JCM
Jacquinot Bay	JAQ	Jacquinot Bay	JAQ
Jaen	JAE	Aeropuerto de Shumba	JAE
Jaffna	JAF	Kankesanturai	JAF
Jagdalpur	JGB	Jagdalpur	JGB
Jaguaruna	JJG	Humberto Bortoluzzi	JJG
Jahrom	JAR	Jahrom	JAR
Jaipur	JAI	International	JAI
Jaisalmer	JSA	Jaisalmer	JSA
Jajao	JJA	Jajao	JJA
Jakarta	JKT	Soekarno-Hatta Intl	CGK
Jakarta	JKT	Halim Perdanakusuma	HLP
Jakarta	JKT	Metropolitan Area	JKT
Jalalabad	JAA	Jalalabad	JAA
Jalapa	JAL	El Lencero	JAL
Jales	JLS	Jales	JLS
Jamba	JMB	Jamba	JMB
Jambol	JAM	Bezmer	JAM
Jamestown	JHW	Chautaqua County	JHW
Jamestown	JMS	Regional	JMS
Jamnagar	JGA	Govardhanpur	JGA
Janakpur	JKR	Janakpur	JKR
Janesville	JVL	Southern Wisconsin Rgn	JVL
Januaria	JNA	Januaria	JNA
Jaque	JQE	Jaque	JQE
Jasper	JAS	Jasper County-Bell Fld	JAS
Jatai	JTI	Jatai	JTI
Jauja	JAU	Francisco Carle	JAU
Jeddah	JED	King Abdulaziz Intl	JED
Jefferson City	JEF	Memorial	JEF
Jeh Island	JEJ	Jeh Island	JEJ
Jember	JBB	Noto Hadinegoro	JBB
Jeongseok	JDG	Jeongseok	JDG
Jequie	JEQ	Jequie	JEQ
Jeremie	JEE	Jeremie	JEE
Jersey	JER	Jersey	JER
Jerusalem	JRS	Jerusalem	JRS
Jessore	JSR	Jessore	JSR
Jiagedaqi	JGD	Jiagedaqi	JGD
Jiamusi	JMU	Dongjiao	JMU
Ji'an	JGS	Jinggangshan	JGS
Jiansanjiang	JSJ	Jiansanjiang	JSJ
Jiayuguan	JGN	Jiayuguan	JGN
Jijiga	JIJ	Jijiga	JIJ
Jilin	JIL	Ertaizi	JIL
Jimma	JIM	Aba Segud	JIM
Jinchang	JIC	Jinchuan	JIC
Jingdezhen	JDZ	Luojia	JDZ
Jinghong	JHG	Xishuangbanna Gasa Int	JHG
Jining	JNG	Qufu	JNG
Jinja	JIN	Jinja	JIN
Jinzhou	JNZ	Jinzhouwan	JNZ
Ji-Parana	JPR	Jose Coleto	JPR
Jipijapa	JIP	Jipijapa	JIP
Jiri	JIR	Jiri	JIR
Jiroft	JYR	Jiroft	JYR
Jiujiang	JIU	Lushan	JIU
Jiuzhaigou	JZH	Jiuzhai Huanglong	JZH
Jiwani	JIW	Jiwani	JIW
Jixi	JXA	Xingkaihu	JXA
Joacaba	JCB	Santa Terezinha	JCB
Joao Pessoa	JPA	Castro Pinto Intl	JPA
Jodhpur	JDH	Jodhpur	JDH
Joensuu	JOE	Joensuu	JOE
Johannesburg	JNB	Grand Central	GCJ
Johannesburg	JNB	Lanseria International	HLA
Johannesburg	JNB	Metropolitan Area	JNB
Johannesburg	JNB	O.R. Tambo Int'l	JNB
Johannesburg	JNB	Rand	QRA
John Day	JDA	Grant County Regional	JDA
Johnson City	JCY	LBJ Ranch	JCY
Johnstown	JST	John Murtha-Cambria Co	JST
Johor Bahru	JHB	Senai Intl	JHB
Joinville	JOI	Lauro Carneiro Loyola	JOI
Joliet	JOT	Regional	JOT
Jolo	JOL	Jolo	JOL
Jomsom	JMO	Jomsom	JMO
Jonesboro	JBR	Municipal	JBR
Jonkoping	JKG	Jonkoping	JKG
Joplin	JLN	Regional	JLN
Jordan	JDN	Jordan	JDN
Jorhat	JRH	Rowriah	JRH
Jos	JOS	Yakubu Gowon	JOS
Jose de San Martin	JSM	Jose de San Martin	JSM
Josephstaal	JOP	Josephstaal	JOP
Juanjui	JJI	Juanjui	JJI
Juara	JUA	I. Luiz do Nascimento	JUA
Juazeiro do Norte	JDO	O. Bezerra de Menezes	JDO
Juba	JUB	Juba	JUB
Juina	JIA	Juina	JIA
Juist	JUI	Juist	JUI
Juiz de Fora	JDF	Presidente I. Franco	IZA
Juiz de Fora	JDF	Francisco de Assis	JDF
Jujuy	JUJ	Gobernador H. Guzman	JUJ
Julia Creek	JCK	Julia Creek	JCK
Juliaca	JUL	Inco Mnco Capac Intl	JUL
Jumla	JUM	Jumla	JUM
Junction	JCT	Kimble County	JCT
Jundah	JUN	Jundah	JUN
Juneau	JNU	International	JNU
Junin	JNI	Junin	JNI
Jurado	JUO	Jurado	JUO
Jurien Bay	JUR	Jurien Bay	JUR
Juruena	JRN	Juruena	JRN
Juticalpa	JUT	Juticalpa	JUT
Jwaneng	JWA	Jwaneng	JWA
Jyvaskyla	JYV	Jyvaskyla	JYV
Kalymnos Island	JKL	Kalymnos Island	JKL
Kansas City	MKC	New Century Aircenter	JCI
Kapalua	JHM	Kapalua	JHM
Kapolei	JRF	Kalaeloa	JRF
Kilimanjaro	JRO	International	JRO
Lower Zambezi Nat.Park	RYL	Jeki	JEK
Maniitsoq	JSU	Maniitsoq	JSU
Manville	JVI	Central Jersey Rgnl	JVI
Meru-Kinna	JJM	Mulika Lodge	JJM
Mykonos	JMK	Mykonos	JMK
Naxos	JNX	Naxos	JNX
New York	NYC	John F Kennedy Intl	JFK
Njombe	JOM	Njombe	JOM
Paamiut	JFR	Paamiut	JFR
Perth	PER	Jandakot	JAD
Port Saint John's	JOH	Port Saint John's	JOH
Puntarenas	JAP	Chacarita	JAP
Qaarsut	JQA	Qaarsut	JQA
Qasigiannguit	JCH	Heliport	JCH
Qianjiang	JIQ	Wulingshan	JIQ
Quanzhou	JJN	Jinjiang	JJN
Quzhou	JUZ	Quzhou	JUZ
Santo Domingo	SDQ	Dr.Joaquin Balaguer	JBQ
Sao Joao del Rei	JDR	O. de Almeida Neves	JDR
Sisimiut	JHS	Sisimiut	JHS
Siteia	JSH	Siteia	JSH
Skiathos	JSI	Alex. Papadiamantis	JSI
Syros Island	JSY	Dimitrios Vikelas	JSY
Thira	JTR	Santorini	JTR
Tiakur	JIO	Jos Orno Imsula	JIO
Upernavik	JUV	Upernavik	JUV
Yogyakarta	JOG	Adisutjipto	JOG
Yoshkar-Ola	JOK	Yoshkar-Ola	JOK
Zanjan	JWN	Zanjan	JWN

Displaying 175 result(s)
