Search results for "K"
CITY NAME	3-LETTER CITY CODE	AIRPORT NAME	3-LETTER AIRPORT CODE
Akiachak	KKI	Akiachak	KKI
Akutan	KQA	Akutan	KQA
Ayamaru	KBX	Kambuaya	KBX
Bell Island	KBE	Hot Springs SPB	KBE
Birch Creek	KBC	Birch Creek	KBC
Bo	KBS	Bo	KBS
Brevig Mission	KTS	Brevig Mission	KTS
Burqin	KJI	Kanas	KJI
Capanda	KNP	Capanda	KNP
Chernofski Harbor	KCN	Sea Plane Base	KCN
Chignik	KCL	Chignik Bay SPB	KBW
Chignik	KCL	Chignik Airport	KCG
Chignik	KCL	Metropolitan Area	KCL
Chignik	KCL	Chignik Lagoon	KCL
Chignik	KCL	Chignik Lake	KCQ
Chisinau	KIV	International	KIV
Cloudbreak	KFE	Fortescue Dave Forrest	KFE
Coffman Cove	KCC	Sea Plane Base	KCC
Collinsville	KCE	Collinsville	KCE
Colombo	CMB	Kelani-Peliyagoda SPB	KEZ
Colorado Creek	KCR	Colorado Creek	KCR
Cyangugu	KME	Kamembe	KME
Ekuk	KKU	Ekuk	KKU
Ekwok	KEK	Ekwok	KEK
False Pass	KFP	False Pass	KFP
Gangneung	KAG	Air Base	KAG
Ganja	KVD	Ganja	KVD
Ganzhou	KOW	Huangjin	KOW
Glacier Creek	KGZ	Glacier Creek	KGZ
Grayling	KGX	Grayling	KGX
Guilin	KWL	Liangjiang Intl	KWL
Guiyang	KWE	Longdongbao Intl	KWE
Gunsan	KUV	Gunsan	KUV
Gwangju	KWJ	Gwangju	KWJ
Halli	KEV	Halli	KEV
Huang Ping	KJH	Kai Li	KJH
Ivanof Bay	KIB	Sea Plane Base	KIB
Jackpot	KPT	Hayden Field	KPT
Kaadedhdhoo Island	KDM	Kaadedhdhoo Island	KDM
Kabala	KBA	Kabala	KBA
Kabalega Falls	KBG	Kabalega Falls	KBG
Kabalo	KBO	Kabalo	KBO
Kaben Island	KBT	Kaben Island	KBT
Kabinda	KBN	Tunta	KBN
Kabul	KBL	International	KBL
Kabwum	KBM	Kabwum	KBM
Kadanwari	KCF	Thar	KCF
Kadavu Island	KDV	Vunisea	KDV
Kadhdhoo Island	KDO	Kadhdhoo Island	KDO
Kadugli	KDX	Kadugli	KDX
Kaduna	KAD	Kaduna	KAD
Kaedi	KED	Kaedi	KED
Kaele	KLE	Kaele	KLE
Kaghau Island	KGE	Kaghau Island	KGE
Kagi	KGW	Kagi	KGW
Kagoshima	KOJ	Kagoshima	KOJ
Kahramanmaras	KCM	Kahramanmaras	KCM
Kaiapit	KIA	Kaiapit	KIA
Kaieteur	KAI	Kaieteur	KAI
Kaikohe	KKO	Kaikohe	KKO
Kaikoura	KBZ	Kaikoura	KBZ
Kaintiba	KZF	Kaintiba	KZF
Kaitaia	KAT	Kaitaia	KAT
Kajaani	KAJ	Kajaani	KAJ
Kake	KAE	Sea Plane Base	KAE
Kakoro	KOR	Kakoro	KOR
Kalabo	KLB	Kalabo	KLB
Kalakaket Creek	KKK	Air Station	KKK
Kalaleh	KLM	Kalaleh	KLM
Kalamata	KLX	Kalamata	KLX
Kalbarri	KAX	Kalbarri	KAX
Kalemyo	KMV	Kalemyo	KMV
Kalgoorlie-Boulder	KGI	Kalgoorlie-Boulder	KGI
Kalibo	KLO	International	KLO
Kalima	KLY	Kalima	KLY
Kaliningrad	KGD	Khrabrovo	KGD
Kalkgurung	KFG	Kalkgurung	KFG
Kalmar	KLR	Kalmar	KLR
Kalokol	KLK	Fergusons Gulf	KLK
Kalpowar	KPP	Kalpowar	KPP
Kalskag	KLG	Kalskag	KLG
Kaltag	KAL	Kaltag	KAL
Kaluga	KLF	Grabtsevo	KLF
Kamaran Downs	KDS	Kamaran Downs	KDS
Kamaran Island	KAM	Kamaran Island	KAM
Kamarang	KAR	Kamarang	KAR
Kamarata	KTV	Kamarata	KTV
Kambalda	KDB	Kambalda	KDB
Kamberatoro	KDQ	Kamberatoro	KDQ
Kamianets-Podilskiy	KCP	Kamianets-Podilskiy	KCP
Kamileroi	KML	Kamileroi	KML
Kamina	KMF	Kamina	KMF
Kamina	KMN	Kamina-Ville	KMN
Kamiraba	KJU	Kamiraba	KJU
Kamishly	KAC	Kamishly	KAC
Kamphaeng Saen	KDT	Kamphaeng Saen	KDT
Kampong Chhnang	KZC	Kampong Chhnang	KZC
Kampot	KMT	Kampot	KMT
Kamulai	KAQ	Kamulai	KAQ
Kamur	KCD	Kamur	KCD
Kamusi	KUY	Kamusi	KUY
Kanab	KNB	Municipal	KNB
Kanabea	KEX	Kanabea	KEX
Kanainj	KNE	Kanainj	KNE
Kananga	KGA	Kananga	KGA
