Search results for "L"
CITY NAME	3-LETTER CITY CODE	AIRPORT NAME	3-LETTER AIRPORT CODE
A Coruna	LCG	Airport	LCG
Aklavik	LAK	Freddie Carmichael	LAK
Albi	LBI	Le Sequestre	LBI
Aleg	LEG	Aleg	LEG
Almeria	LEI	Airport	LEI
Altai	LTI	Altai	LTI
Altus	LTS	Quartz Moutain Rgnl	AXS
Altus	LTS	Metropolitan Area	LTS
Altus	LTS	AFB	LTS
Angleton/Lake Jackson	LJN	Texas Gulf Coast Rgnl	LJN
Aurora	LDO	Laduani	LDO
Balcanoona	LCN	Balcanoona	LCN
Beida	LAQ	Labraq	LAQ
Bom Jesus da Lapa	LAZ	Bom Jesus da Lapa	LAZ
Brandon	LKZ	Lakenheath RAF	LKZ
Cape Lisburne	LUR	Cape Lisburne	LUR
Chillagoe	LLG	Chillagoe	LLG
Cincinnati	CVG	Municipal (Lunken Fld)	LUK
Cochrane	LGR	Cochrane	LGR
Columbus	CMH	Rickenbacker Intl	LCK
Columbus	CSG	Lawson AAF-Ft Benning	LSF
Deadmans Cay	LGI	Deadmans Cay	LGI
Derry	LDY	Eglinton	LDY
El Trapiche	LMX	Lopez de Micay	LMX
Ely	LYU	Municipal	LYU
Faisalabad	LYP	International	LYP
Gapuwiyak	LEL	Lake Evella	LEL
Ghadames	LTD	Ghadames	LTD
Gran Canaria	LPA	Gran Canaria	LPA
Gyumri	LWN	Shirak	LWN
Hamburg	HAM	Luebeck-Blankensee	LBC
Hampton	LFI	Langley AFB	LFI
Hattiesburg/Laurel	LUL	Bobby L. Chain Muni	HBG
Hattiesburg/Laurel	LUL	Metropolitan Area	LUL
Hattiesburg/Laurel	LUL	Hesler-Noble Field	LUL
Hattiesburg/Laurel	LUL	Regional	PIB
Hinesville/Ft Stewart	LIY	MidCoast Regional	LIY
Jacksonville	LRF	Little Rock AFB	LRF
Kalaupapa	LUP	Kalaupapa	LUP
Kelafo	LFO	Kelafo	LFO
Kelila	LLN	Kelila	LLN
Khujand	LBD	International	LBD
Kiriwina Island	LSA	Losuia	LSA
Klamath Falls	LMT	Klamath Falls	LMT
Kulik Lake	LKK	Kulik Lake	LKK
La Baule-Escoublac	LBY	La Baule-Escoublac	LBY
La Ceiba	LCE	Goloson International	LCE
La Chorrera	LCR	La Chorrera	LCR
La Crosse	LSE	Regional	LSE
La Cumbre	LCM	La Cumbre	LCM
La Esperanza	LEZ	La Esperanza	LEZ
La Fria	LFR	La Fria	LFR
La Grande	LGD	Union County	LGD
La Grange	LGC	Callaway	LGC
La Macarena	LMC	La Macarena	LMC
La Paz	LAP	Manuel Marquez de Leon	LAP
La Paz	LPB	El Alto Intl	LPB
La Pedrera	LPD	La Pedrera	LPD
La Plata	LPG	La Plata	LPG
La Primavera	LPE	La Primavera	LPE
La Rochelle	LRH	Ile de Re	LRH
La Romana	LRM	Casa de Campo Intl	LRM
La Serena	LSC	La Florida	LSC
La Union	LUI	La Union	LUI
Lab Lab	LAB	Lab Lab	LAB
Labasa	LBS	Labasa	LBS
Labe	LEK	Tata	LEK
Labrea	LBR	Labrea	LBR
Labuan	LBU	Labuan	LBU
Labuan Bajo	LBJ	Komodo	LBJ
Labuha	LAH	Oesman Sadik	LAH
Laconia	LCI	Municipal	LCI
Lady Elliot Island	LYT	Lady Elliot Island	LYT
Ladysmith	LAY	Ladysmith	LAY
Lae	LAE	Nadzab	LAE
Lae Island	LML	Lae Island	LML
Lafayette	LAF	Purdue University	LAF
Lafayette	LFT	Regional	LFT
Lage	LCO	Lage	LCO
Lages	LAJ	Correia Pinto	LAJ
Laghouat	LOO	L'Mekrareg	LOO
Lago Agrio	LGQ	Lago Agrio	LGQ
Lagos	LOS	Murtala Muhammed Intl	LOS
Lagos de Moreno	LOM	F. Primo de Verdad	LOM
Lagunillas	LGY	Lagunillas	LGY
Lahad Datu	LDU	Lahad Datu	LDU
Lahore	LHE	Allama Iqbal Intl	LHE
Lahr	LHA	Black Forest	LHA
Lai	LTC	Lai	LTC
Laiagam	LGM	Laiagam	LGM
Lake Baringo	LBN	Lake Baringo	LBN
Lake Charles	LCH	Chennault Intl	CWF
Lake Charles	LCH	Regional	LCH
Lake City	LCQ	Lake City Gateway	LCQ
Lake Gregory	LGE	Mulan	LGE
Lake Manyara	LKY	Lake Manyara	LKY
Lake Minchumina	LMA	Lake Minchumina	LMA
Lake Murray	LMY	Lake Murray	LMY
Lake Nash	LNH	Lake Nash	LNH
Lake Placid	LKP	Lake Placid	LKP
Lake Turkana	LKU	Lake Turkana	LKU
Lakeba Island	LKB	Lakeba Island	LKB
Lakefield	LFP	Lakefield	LFP
Lakeland	LAL	Linder Regional	LAL
Lakeland Downs	LKD	Lakeland Downs	LKD
Lakeview	LKV	Lake County	LKV
Lakselv	LKL	Banak	LKL
Lalibela	LLI	Lalibela	LLI
Lamap	LPM	Malekoula	LPM
Lamar	LAA	Municipal	LAA
Lamassa	LMG	Lamassa	LMG
Lambarene	LBQ	Lambarene	LBQ
Lamen Bay	LNB	Lamen Bay	LNB
Lamerd	LFM	Lamerd	LFM
Lamidanda	LDN	Lamidanda	LDN
Lampang	LPT	Lampang	LPT
Lampedusa	LMP	Lampedusa	LMP
Lamu	LAU	Manda	LAU
Lanai City	LNY	Lanai City	LNY
Lancaster	LNS	Lancaster	LNS
Lander	LND	Hunt Field	LND
Landivisiau	LDV	Landivisiau	LDV
Land's End	LEQ	St Just	LEQ
Langeoog	LGO	Langeoog	LGO
Langgur	LUV	Dumatubun	LUV
Langimar	LNM	Langimar	LNM
Langkawi	LGK	International	LGK
Langtang	LTG	Langtang	LTG
Lankaran	LLK	Lankaran	LLK
Lannion	LAI	Lannion	LAI
Lansdowne Station	LDW	Lansdowne Station	LDW
Lansing	LAN	Capital Region Intl	LAN
Lanzhou	LHW	Zhongchuan	LHW
Laoag	LAO	International	LAO
Laohekou	LHK	Laohekou	LHK
LaPorte	LPO	Municipal	LPO
Lappeenranta	LPP	Lappeenranta	LPP
Lar	LRR	Lar	LRR
Laramie	LAR	Regional	LAR
Larantuka	LKA	Gewayantana	LKA
Laredo	LRD	International	LRD
Larisa	LRA	Thessalia	LRA
Larnaca	LCA	Larnaca	LCA
Las Cruces	LRU	International	LRU
Las Gaviotas	LGT	Las Gaviotas	LGT
Las Heras	LHS	Las Heras	LHS
Las Khoreh	LKR	Las Khoreh	LKR
Las Limas	LLH	Reginaldo Hammer	LLH
Las Lomitas	LLS	Alferez A. Rodriguez	LLS
Las Piedras	LSP	Josefa Camejo Intl	LSP
Las Vegas	LAS	Boulder City Municipal	BLD
Las Vegas	LAS	Henderson ExecutiveA	HSH
Las Vegas	LAS	Metropolitan Area	LAS
Las Vegas	LAS	McCarran International	LAS
Las Vegas	LAS	Nellis AFB	LSV
Las Vegas	LAS	North Las Vegas Arpt	VGT
Las Vegas	LVS	Municipal	LVS
Lashio	LSH	Lashio	LSH
Lastoursville	LTL	Lastoursville	LTL
Latacunga	LTX	Cotapaxi International	LTX
Latakia	LTK	Bassel al Assad Intl	LTK
Latrobe	LBE	Arnold Palmer Regional	LBE
Latrobe	LTB	Latrobe	LTB
Latur	LTU	Latur	LTU
Laucala Island	LUC	Laucala Island	LUC
Launceston	LST	Launceston	LST
Laura	LUU	Laura	LUU
Laurie River	LRQ	Laurie River	LRQ
