Search results for "M"
CITY NAME	3-LETTER CITY CODE	AIRPORT NAME	3-LETTER AIRPORT CODE
Amasya	MZH	Merzifon	MZH
Anchorage	ANC	Merrill Field	MRI
Athens	MMI	McMinn County	MMI
Baltimore	BWI	Martin State	MTN
Bandar Mahshahr	MRX	Mahshahr	MRX
Barre/Montpelier	MPV	Edward F. Knapp State	MPV
Basel/Mulhouse	EAP	EuroAirport French FR	MLH
Burlington/Mt Vernon	MVW	Skagit Regional	MVW
Carbondale/Murphysboro	MDH	Southern Illinois	MDH
Castro	WCA	Mocopulli	MHC
Caticlan	MPH	Godofredo P. Ramos	MPH
Chennai	MAA	International	MAA
Chicago	CHI	Midway International	MDW
Ciudad Mante	MMC	Ciudad Mante	MMC
Columbia	CAE	McEntire JNGB	MMT
Columbia/Mt Pleasant	MRC	Maury County	MRC
Cut Nyak Dien	MEQ	Nagan Raya	MEQ
Dayton	DAY	Wright Brothers	MGY
Duesseldorf	DUS	Moenchengladbach	MGL
Durham	MME	Tees Valley	MME
Fairbanks	FAI	Metro Field	MTX
Fort Indiantown Gap	MUI	Muir AAF	MUI
Franceville	MVB	Mvengue	MVB
Harrisburg	HAR	International	MDT
Hoolehua	MKK	Molokai	MKK
Jackson	MJQ	Municipal	MJQ
Jackson	MKL	McKellar-Sipes Rgnl	MKL
Kamuela	MUE	Waimea-Kohala	MUE
Kansas City	MKC	New Century Aircenter	JCI
Kansas City	MKC	International	MCI
Kansas City	MKC	Metropolitan Area	MKC
Kansas City	MKC	C.B. Wheeler Downtown	MKC
Kansas City	MKC	Johnson Co Executive	OJC
Katima Mulilo	MPA	Mpacha	MPA
Kayenta	MVM	Kayenta	MVM
Khonu	MQJ	Moma	MQJ
Laurinburg/Maxton	MXE	Laurinburg/Maxton	MXE
Maan	MPQ	Maan	MPQ
Maasai Mara	MRE	Mara Serena	MRE
Maastricht	MST	Maastricht/Aachen	MST
Mabua	MPU	Mabua	MPU
Macae	MEA	Benedito Lacerda	MEA
Macapa	MCP	Alberto Alcolumbre Int	MCP
Macara	MRR	J.M. Velasco Ibarra	MRR
Macau	MFM	International	MFM
MacDonald Downs	MNW	MacDonald Downs	MNW
Maceio	MCZ	Zumbi dos Palmares Int	MCZ
Macenta	MCA	Macenta	MCA
Machala	MCH	General Manuel Serrano	MCH
Mackay	MKY	Mackay	MKY
Mackinac Island	MCD	Mackinac Island	MCD
Macksville	MVH	Macksville	MVH
Macomb	MQB	Municipal	MQB
Macon	MCN	Downtown Apt	MAC
Macon	MCN	Metropolitan Area	MCN
Macon	MCN	Middle Georgia Rgnl	MCN
Madang	MAG	Madang	MAG
Madera	MAE	Municipal	MAE
Madinah	MED	Mohammad Bin Abdulaziz	MED
Madison	MDN	Municipal	MDN
Madison	MSN	Dane County Regional	MSN
Madras	MDJ	Municipal	MDJ
Madrid	MAD	Metropolitan Area	MAD
Madrid	MAD	Adolfo Suarez-Barajas	MAD
Madrid	MAD	Torrejon	TOJ
Mae Sot	MAQ	Mae Sot	MAQ
Maewo Island	MWF	Naone	MWF
Mafeteng	MFC	Mafeteng	MFC
Mafia Island	MFA	Mafia Island	MFA
Magangue	MGN	Baracoa	MGN
Maganja da Costa	MJS	Maganja da Costa	MJS
Magaruque Island	MFW	Magaruque Island	MFW
Magdalena	MGD	Magdalena	MGD
Magnitogorsk	MQF	Magnitogorsk	MQF
Magong	MZG	Magong	MZG
Magway	MWQ	Magway	MWQ
Mahajanga	MJN	Philibert Tsiranana	MJN
Mahdia	MHA	Mahdia	MHA
Mahenye	MJW	Mahenye	MJW
Maiana	MNK	Maiana	MNK
Maicao	MCJ	Jorge Isaacs	MCJ
