Search results for "N"
CITY NAME	3-LETTER CITY CODE	AIRPORT NAME	3-LETTER AIRPORT CODE
Afton	NRI	Grand Lake Regional	NRI
Al Najaf	NJF	Al-Ashraf Intl	NJF
Anegada	NGD	Auguste George	NGD
Ankokoambo	NKO	Ankokoambo	NKO
Annai	NAI	Annai	NAI
Annecy	NCY	Meythet	NCY
Annobon	NBN	Annobon	NBN
Arcata/Eureka	ACV	Kneeland	NLN
Atsugi	NJA	NAF	NJA
Bagan/Nyaung-u	NYU	Bagan/Nyaung-u	NYU
Baishan	NBS	Changbaishan	NBS
Banaina	NAF	Banaina	NAF
Banda Island	NDA	Bandaneira	NDA
Barranco Minas	NBB	Barranco Minas	NBB
Beckwourth	NVN	Nervino	NVN
Beeville	NIR	Chase Field Industrial	NIR
Beijing	BJS	Nanyuan	NAY
Bimini	BIM	North Seaplane Base	NSB
Bintuni	NTI	Stenkol	NTI
Brunswick	NHZ	Executive	NHZ
Ceiba	NRR	J. Aponte de la Torre	NRR
Chenega	NCN	Chenega Bay	NCN
Corpus Christi	CRP	NAS (Truax Field)	NGP
Corpus Christi	CRP	Cabaniss Field NOLF	NGW
Crows Landing	NRC	Crows Landing	NRC
Daman	NMB	Daman	NMB
Darnley Island	NLF	Darnley Island	NLF
Dubai	DXB	Minhad AB	NHD
Duesseldorf	DUS	Weeze	NRN
En Nahud	NUD	En Nahud	NUD
Enfidha	NBE	Hammamet	NBE
Fallon	NFL	Municipal	FLX
Fallon	NFL	Metropolitan Area	NFL
Fallon	NFL	NAS-Van Voorhis Field	NFL
Foley	NHX	Barin NOLF	NHX
Fort McMurray	YMM	Mildred Lake	NML
Gau Island	NGI	Gau Island	NGI
Guantanamo	GAO	Mariana Grajales	NBW
Hatton	NUF	Castlereigh Resrvr SPB	NUF
Huambo	NOV	Albano Machado	NOV
Imperial Beach	NRS	NOLF (Ream Field)	NRS
Imperial/El Centro	IPL	El Centro NAF	NJK
Jacksonville	JAX	Whitehouse NOLF	NEN
Jacksonville	JAX	NAS (Towers Field)	NIP
Kaneohe	NGF	Kaneohe Bay MCAS	NGF
Kenitra	NNA	Royal AFB	NNA
Key West	EYW	NAS (Boca Chica Field)	NQX
Kingsville	NQI	NAS	NQI
Kinshasa	FIH	N'dolo	NLO
Knock	NOC	Ireland West	NOC
Kolo	NKL	Fuma	NKL
Lakehurst	NEL	Maxfield Field	NEL
Lemoore	NLC	NAS (Reeves Field)	NLC
Macanal	NAD	Macanal	NAD
Manang	NGX	Manang	NGX
Mandera	NDE	Mandera	NDE
Manti/Ephraim	NTJ	Manti/Ephraim	NTJ
Manzhouli	NZH	Xijiao	NZH
Mayport	NRB	Naval Station	NRB
Mendi	NDM	Masslo	NDM
Mexico City	MEX	Santa Lucia AFB	NLU
Millington	NQA	Regional Jetport	NQA
Milton	NSE	Whiting Fild NAS North	NSE
Miracema do Tocantins	NTM	Miracema do Tocantins	NTM
Moheli	NWA	Bandar es Salam	NWA
Monterrey	MTY	Del Norte Intl	NTR
Monywa	NYW	Monywa	NYW
Mountain View	NUQ	Moffett Federal Airfld	NUQ
Mykolaiv	NLV	International	NLV
Nabire	NBX	Nabire	NBX
Nachingwea	NCH	Nachingwea	NCH
Nadi	NAN	International	NAN
Nador	NDR	El Aroui	NDR
Nadunumu	NDN	Nadunumu	NDN
Nadym	NYM	Nadym	NYM
Nafoora	NFR	Nafoora	NFR
Nagasaki	NGS	Nagasaki Airport	NGS
Nagasaki	NGS	Omura	OMJ
Nagoya	NGO	Metropolitan Area	NGO
Nagoya	NGO	Chubu Centrair Intl	NGO
Nagoya	NGO	Nagoya (Komaki)	NKM
Nagpur	NAG	Dr.Ambedkar Intl	NAG
Nairobi	NBO	Metropolitan Area	NBO
Nairobi	NBO	Jomo Kenyatta Intl	NBO
Nairobi	NBO	Wilson	WIL
Nakchivan	NAJ	Nakchivan	NAJ
Nakhon Ratchasima	NAK	Nakhon Ratchasima	NAK
Nakhon Si Thammarat	NST	Nakhon Si Thammarat	NST
Naknek	NNK	Naknek	NNK
Nakuru	NUU	Nakuru	NUU
