Search results for "O"
CITY NAME	3-LETTER CITY CODE	AIRPORT NAME	3-LETTER AIRPORT CODE
Abengourou	OGO	Abengourou	OGO
Anacortes	OTS	Anacortes	OTS
Are/Ostersund	OSD	Are/Ostersund	OSD
Asturias	OVD	Asturias	OVD
Aubenas	OBS	Ardeche Meridionale	OBS
Bagram	OAI	Bagram	OAI
Balimo	OPU	Balimo	OPU
Batouri	OUR	Batouri	OUR
Bekily	OVA	Bekily	OVA
Bissau	OXB	Osvaldo Vieira Intl	OXB
Bodaybo	ODO	Bodaybo	ODO
Bol	OTC	Berim	OTC
Bongor	OGR	Bongor	OGR
Boolgeeda	OCM	Boolgeeda	OCM
Bousso	OUT	Bousso	OUT
Boutilimit	OTL	Boutilimit	OTL
Bucharest	BUH	Henri Coanda	OTP
Cacoal	OAL	Capital do Cafe	OAL
Camp Bastion	OAZ	Camp Bastion	OAZ
Chicago	CHI	O'Hare International	ORD
Coca	OCC	Francisco de Orellana	OCC
Colon	ONX	Enrique Adolfo Jimenez	ONX
Columbus	CMH	Ohio State University	OSU
Columbus	OLU	Municipal	OLU
Contadora Island	OTD	Contadora Island	OTD
Cooma	OOM	Snowy Mountains	OOM
Cordillo Downs	ODL	Cordillo Downs	ODL
Cordoba	ODB	Airport	ODB
Corisco Island	OCS	Corisco Island	OCS
Cork	ORK	International	ORK
Coto 47	OTR	Coto 47	OTR
Cotriguacu	OTT	Andre Maggi	OTT
Fort Rucker/Ozark	OZR	Metropolitan Area	OZR
Fort Rucker/Ozark	OZR	Cairns AAF	OZR
Fraser Island	OKB	Orchid Beach	OKB
Fuerte Olimpo	OLK	Fuerte Olimpo	OLK
Georgetown	GEO	Ogle	OGL
Gold Coast	OOL	Coolangatta	OOL
Goya	OYA	Goya	OYA
Jacksonville	OAJ	Albert J Ellis	OAJ
Kahului	OGG	Kahului	OGG
Kansas City	MKC	Johnson Co Executive	OJC
Key Largo	OCA	Ocean Reef Club	OCA
Kobuk	OBU	Kobuk	OBU
Kohat	OHT	Kohat	OHT
Kokomo	OKK	Municipal	OKK
Kopasker	OPA	Kopasker	OPA
Kosciusko	OSX	Attala County	OSX
Koszalin	OSZ	Zegrze Pomorskie AB	OSZ
Kotzebue	OTZ	Ralph Wien Memorial	OTZ
Long Seridan	ODN	Long Seridan	ODN
Mafraq	OMF	King Hussein	OMF
Marmul	OMM	Marmul	OMM
Miami	MIA	Opa-locka Executive	OPF
Moanamani	ONI	Moanamani	ONI
Mohe	OHE	Gulian	OHE
Mokuti Lodge	OKU	Mokuti Lodge	OKU
Monkira	ONR	Monkira	ONR
Monterey/Carmel	MRY	Marina Municipal	OAR
Mooraberree	OOR	Mooraberree	OOR
Moramanga	OHB	Ambohibary	OHB
Morney	OXY	Morney	OXY
Mornington Island	ONG	Mornington Island	ONG
Morobe	OBM	Morobe	OBM
Moron	OZP	Air Base	OZP
Morotai Island	OTI	Pitu	OTI
Mostar	OMO	International	OMO
Mosul	OSM	International	OSM
Mota	OTA	Mota	OTA
Moyale	OYL	Moyale	OYL
Moyo	OYG	Moyo	OYG
Muang Xay	ODY	Oudomxai	ODY
Nacogdoches	OCH	A.L. Mangham Jr. Rgnl	OCH
Nagasaki	NGS	Omura	OMJ
Namsos	OSY	Namsos	OSY
Newport	ONP	Municipal	ONP
Nogales	OLS	International	OLS
Nome	OME	Nome	OME
Noorvik	ORV	R. (Bob) Curtis Mem.	ORV
Norfolk	OFK	Regional	OFK
Norfolk	ORF	NS (Chambers Field)	NGU
Norfolk	ORF	Metropolitan Area	ORF
Norfolk	ORF	International	ORF
Norman	OUN	Max Westheimer	OUN
Norridgewock	OWK	Central Maine	OWK
North Bend	OTH	Southwest Oregon Rgnl	OTH
Northampton	ORM	Sywell	ORM
Northway	ORT	Northway	ORT
Norwich	OIC	Lt. Warren Eaton	OIC
Norwood	OWD	Memorial	OWD
Novosibirsk	OVB	Tolmachevo	OVB
Oak Harbor	ODW	Whidbey Island NAS	NUW
Oak Harbor	ODW	A.J. Eisenberg	ODW
Oakdale	ODC	Oakdale	ODC
Oakey	OKY	Army Aviation Centre	OKY
Oakham	OKH	Cottesmore RAF	OKH
Oakland	OAK	Metropolitan Area	OAK
Oakland	OAK	International	OAK
Oakland	ODM	Garrett County	ODM
Oaktown	OTN	Ed-Air	OTN
Oamaru	OAM	Oamaru	OAM
Oaxaca	OAX	Xoxocotlan Intl	OAX
Oban	OBA	Oban	OBA
Oban	OBN	North Connel	OBN
Obano	OBD	Obano	OBD
Oberpfaffenhofen	OBF	Oberpfaffenhofen	OBF
Obidos	OBI	Obidos	OBI
Obihiro	OBO	Obihiro	OBO
Obo	OBX	Obo	OBX
Obock	OBC	Obock	OBC
Ocala	OCF	Intl (Jim Taylor Fld)	OCF
Ocana	OCV	Aguas Claras	OCV
Oceanside	OCN	Municipal	OCN
Ocho Rios	OCJ	Ian Fleming Intl	OCJ
Odate/Noshiro	ONJ	Odate/Noshiro	ONJ
Odense	ODE	Airport	ODE
Odesa	ODS	International	ODS
Odiham	ODH	RAF Station	ODH
Oecussi	OEC	Oecussi	OEC
Oenpelli	OPI	Oenpelli	OPI
Ofu Island	OFU	Ofu Island	OFU
Ogallala	OGA	Searle Field	OGA
Ogden	OGD	Hill AFB	HIF
Ogden	OGD	Metropolitan Area	OGD
Ogden	OGD	Hinckley	OGD
Ogdensburg	OGS	International	OGS
Ogeramnang	OGE	Ogeramnang	OGE
Ohakea	OHA	RNZAF Base	OHA
Ohrid	OHD	St.Paul the Apostle	OHD
Oiapoque	OYK	Oiapoque	OYK
Oita	OIT	Oita	OIT
Okaba	OKQ	Okaba	OKQ
Okao	OKV	Okao	OKV
Okaukuejo	OKF	Okaukuejo	OKF
Okayama	OKJ	Okayama	OKJ
Okeechobee	OBE	Okeechobee County	OBE
Okha	OHH	Novostroyka	OHH
Okhotsk	OHO	Okhotsk	OHO
Oki	OKI	Oki	OKI
Okierabu	OKE	Okierabu	OKE
Okinawa	OKA	Kadena AB	DNA
Okinawa	OKA	Metropolitan Area	OKA
Okinawa	OKA	Naha	OKA
Oklahoma City	OKC	Metropolitan Area	OKC
Oklahoma City	OKC	Will Rogers World	OKC
Oklahoma City	OKC	Wiley Post	PWA
Oklahoma City	OKC	Tinker AFB	TIK
Okmulgee	OKM	Regional	OKM
Okondja	OKN	Okondja	OKN
Okoyo	OKG	Okoyo	OKG
Oksapmin	OKP	Oksapmin	OKP
Oksibil	OKL	Gunung Bintang	OKL
Oktiabrsky	OKT	Oktiabrsky	OKT
Okushiri	OIR	Okushiri	OIR
Olafsfjordur	OFJ	Olafsfjordur	OFJ
Olafsvik	OLI	Rif	OLI
Olanchito	OAN	El Arrayan	OAN
Olavarria	OVR	Olavarria	OVR
Olbia	OLB	Costa Smeralda	OLB
Old Harbor	OLH	Old Harbor	OLH
Old Town	OLD	Dewitt Fld Municipal	OLD
Olean	OLE	Cattaraugus County	OLE
Olekminsk	OLZ	Olekminsk	OLZ
Olenek	ONK	Olenek	ONK
Olive Branch	OLV	Olive Branch	OLV
Olkiombo	OLX	Olkiombo	OLX
Olney	ONY	Municipal	ONY
Olney/Noble	OLY	Olney/Noble	OLY
Olomouc	OLO	Neredin	OLO
Olpoi	OLJ	North West Santo	OLJ
Olsobip	OLQ	Olsobip	OLQ
Olympia	OLM	Regional	OLM
Olympic Dam	OLP	Olympic Dam	OLP
Omaha	OMA	Millard	MIQ
Omaha	OMA	Offutt AFB	OFF
Omaha	OMA	Metropolitan Area	OMA
Omaha	OMA	Eppley Airfield	OMA
Omak	OMK	Omak	OMK
Omboue	OMB	Omboue-Hopital	OMB
Omega	OMG	Omega	OMG
Omidiyeh	OMI	Omidiyeh	OMI
Omkalai	OML	Omkalai	OML
Omora	OSE	Omora	OSE
