Search results for "P"
CITY NAME	3-LETTER CITY CODE	AIRPORT NAME	3-LETTER AIRPORT CODE
Asaloyeh	PGU	Persian Gulf Intl	PGU
Atlanta	ATL	DeKalb-Peachtree	PDK
Batticaloa	BTC	Passikudah SPB	PQD
Beijing	BJS	Capital Intl	PEK
Belo Horizonte	BHZ	Pampulha	PLU
Bilaspur	PAB	Bilaspur	PAB
Boston	BOS	Portsmouth Pease Intl	PSM
Branson	BKG	M. Graham Clark Downtn	PLK
Bremerton	PWT	National	PWT
Busan	PUS	Gimhae Intl	PUS
Chicago	CHI	Executive	PWK
Chitato	PGI	Chitato	PGI
Dublin	PSK	New River Valley	PSK
El Porvenir	PVE	El Porvenir	PVE
Everett	PAE	Snohomish County	PAE
Fort Bragg	FBG	Pope Field	POB
Fort Polk	POE	Polk AAF	POE
Glasgow	GLA	Prestwick	PIK
Greenville	PGV	Pitt-Greenville	PGV
Hanapepe	PAK	Port Allen	PAK
Hattiesburg/Laurel	LUL	Regional	PIB
Hpa-an	PAA	Hpa-an	PAA
Ilebo	PFR	Ilebo	PFR
Islita	PBP	Islita	PBP
Jeypore	PYB	Jeypore	PYB
Karaj	PYK	Payam	PYK
Klaipeda/Palanga	PLQ	Palanga International	PLQ
Kolaka	PUM	Pomala	PUM
La Palma	PLP	Ramon Xatruch	PLP
La Ribera	PCO	Punta Colorada	PCO
La Verne	POC	Brackett Field	POC
Lahat	PXA	Pagar Alam	PXA
Malolo Lailai Island	PTF	Malolo Lailai Island	PTF
Manaus	MAO	Ponta Pelada AB	PLL
Milan	MIL	Parma	PMF
Mueo	PDC	Mueo	PDC
Napaskiak	PKA	Napaskiak	PKA
New Philadelphia	PHD	Harry Clever Field	PHD
Newport News/Williamsb	PHF	International	PHF
Oklahoma City	OKC	Wiley Post	PWA
Paama Island	PBJ	Paama Island	PBJ
Pacific City	PFC	State	PFC
Pacific Harbour	PHR	Pacific Harbour	PHR
Padang	PDG	Minangkabau	PDG
Paderborn/Lippstadt	PAD	Paderborn/Lippstadt	PAD
Paducah	PAH	Barkley Regional	PAH
Pagadian	PAG	Pagadian	PAG
Page	PGA	Municipal	PGA
Pago Pago	PPG	International	PPG
Pagosa Springs	PGO	Stevens Field	PGO
Pahokee	PHK	Palm Beach Co Glades	PHK
Pai	PYY	Pai	PYY
Paiela	PLE	Paiela	PLE
Pajala	PJA	Pajala-Yllas	PJA
Pakokku	PKK	Pakokku	PKK
Pakse	PKZ	International	PKZ
Pakuba	PAF	Pakuba	PAF
Pala	PLF	Pala	PLF
Palacios	PCH	Palacios	PCH
Palacios	PSX	Municipal	PSX
Palangkaraya	PKY	Tjilik Riwut	PKY
Palanquero	PAL	German Olano Moreno AB	PAL
Palembang	PLM	S M Badaruddin II	PLM
Palenque	PQM	International	PQM
Palermo	PMO	Punta Raisi	PMO
Palestine	PSN	Municipal	PSN
Palm Island	PLI	Palm Island	PLI
Palm Island	PMK	Palm Island	PMK
Palm Springs	PSP	Metropolitan Area	PSP
Palm Springs	PSP	International	PSP
Palm Springs	PSP	Bermuda Dunes	UDD
Palma de Mallorca	PMI	Palma de Mallorca	PMI
Palmar Sur	PMZ	Palmar Sur	PMZ
Palmarito	PTM	Palmarito	PTM
Palmas	PMW	Lysias Rodrigues	PMW
Palmdale	PMD	LA/Palmdale Regional	PMD
Palmer	PAQ	Municipal	PAQ
Palmer	PMX	Metropolitan	PMX
Palmerston North	PMR	Palmerston North	PMR
Palmyra	PMS	Palmyra	PMS
Palo Alto	PAO	Santa Clara County	PAO
Palu	PLW	Mutiara	PLW
Pambwa	PAW	Pambwa	PAW
Pamol	PAY	Pamol	PAY
Pampa	PPA	Perry Lefors Field	PPA
Pamplona	PNA	Pamplona	PNA
Panama City	ECP	Tyndall AFB	PAM
Panama City	PTY	Marcos A. Gelabert Int	PAC
Panama City	PTY	Metropolitan Area	PTY
Panama City	PTY	Tocumen International	PTY
Pandie Pandie	PDE	Pandie Pandie	PDE
Panevezys	PNV	Pajuostis	PNV
Pangia	PGN	Pangia	PGN
Pangkalanbuun	PKN	Iskandar	PKN
Pangkalpinang	PGK	Depati Amir	PGK
Pangkor	PKG	Pangkor	PKG
