Search results for "R"
CITY NAME	3-LETTER CITY CODE	AIRPORT NAME	3-LETTER AIRPORT CODE
Alxa Right Banner	RHT	Alxa Right Banner	RHT
American River	RCN	American River	RCN
Arar	RAE	Arar	RAE
Aratika	RKA	Aratika-Nord	RKA
Arawa	RAW	Arawa	RAW
Arlit	RLT	Arlit	RLT
Arona	RNA	Ulawa	RNA
Arua	RUA	Arua	RUA
Balurghat	RGH	Balurghat	RGH
Barora	RRI	Barora	RRI
Bayannur	RLK	Tianjitai	RLK
Big Bear City	RBF	Big Bear City	RBF
Borba	RBB	Borba	RBB
Bornholm	RNN	Ronne	RNN
Buraimi	RMB	Buraimi	RMB
Burgos	RGS	Airport	RGS
Butembo	RUE	Butembo	RUE
Chicago	CHI	Chicago/Rockford Intl	RFD
Chongjin	RGO	Orang	RGO
Colombo	CMB	Ratmalana	RML
Copan	RUY	Ruinas de Copan	RUY
Copenhagen	CPH	Roskilde	RKE
Corn Island	RNI	Corn Island	RNI
Corvera	RMU	International	RMU
Cravo Norte	RAV	Cravo Norte	RAV
Dallas	DFW	Executive	RBD
Damazin	RSS	Damazin	RSS
Durgapur	RDP	Kazi Nazrul Islam	RDP
Farafangana	RVA	Farafangana	RVA
Fort Myers	FMY	Southwest Florida Intl	RSW
Gorno-Altaysk	RGK	Gorno-Altaysk	RGK
Grand Forks	GFK	AFB	RDR
Green River	RVR	Municipal	RVR
Isalo	RLR	Relais de la Reine	RLR
Kawbenaberi	RUU	Ruti	RUU
Koror	ROR	Palau International	ROR
Logrono	RJL	Agoncillo	RJL
Lower Zambezi Nat.Park	RYL	Jeki	JEK
Lower Zambezi Nat.Park	RYL	Royal	RYL
Lubbock	LBB	Reese Airpark	REE
Marau	RUS	Marau	RUS
Mariposa	RMY	Mariposa-Yosemite	RMY
Marrakech	RAK	Menara	RAK
Marree	RRE	Marree	RRE
Marromeu	RRM	Marromeu	RRM
Marsa Alam	RMF	International	RMF
Marsabit	RBT	Marsabit	RBT
McMinnville	RNC	Warren County Memorial	RNC
Merdey	RDE	Jahabra	RDE
Merlo	RLO	Valle del Conlara	RLO
Merrill	RRL	Municipal	RRL
Merty Merty	RTY	Merty Merty	RTY
Monrovia	MLW	Roberts Intl	ROB
Montague/Yreka	SIY	Rohrer Field	ROF
Mukalla	RIY	Riyan	RIY
Muna	RAQ	Sugimanuru	RAQ
Murrieta/Temecula	RBK	French Valley	RBK
New Richmond	RNH	Regional	RNH
Ngukurr	RPM	Ngukurr	RPM
Oram	RAX	Oram	RAX
Orbost	RBS	Orbost	RBS
Orenburg	REN	Tsentralny	REN
Oslo	OSL	Moss-Rygge	RYG
Paipa	RON	Juan Jose Rondon	RON
Porgera	RGE	Porgera	RGE
Poteau	RKR	Robert S Kerr	RKR
Praia	RAI	International	RAI
Puerto Santa Cruz	RZA	Santa Cruz	RZA
Qarn Alam	RNM	Qarn Alam	RNM
Qayyarah	RQW	West	RQW
Raba Raba	RBP	Raba Raba	RBP
Rabat	RBA	Sale	RBA
Rabaul	RAB	Tokua	RAB
Rabi Island	RBI	Rabi Island	RBI
Racine	RAC	John H. Batten	RAC
Radom	RDO	Radom	RDO
Raduzhny	RAT	Raduzhny	RAT
Rafaela	RAF	Rafaela	RAF
Rafai	RFA	Rafai	RFA
Rafha	RAH	Rafha	RAH
Rafsanjan	RJN	Rafsanjan	RJN
Raglan	RAG	Raglan	RAG
Rahim Yar Khan	RYK	Shaikh Zayed Intl	RYK
Raiatea	RFP	Uturoa	RFP
Raipur	RPR	Swami Vivekananda	RPR
Raivavae	RVV	Raivavae	RVV
Rajahmundry	RJA	Rajahmundry	RJA
Rajauri	RJI	Rajauri	RJI
Rajbiraj	RJB	Rajbiraj	RJB
Rajkot	RAJ	Rajkot	RAJ
Rajshahi	RJH	Shah Makhdum	RJH
Rakanda	RAA	Rakanda	RAA
Raleigh/Durham	RDU	International	RDU
Ramagundam	RMD	Basantnagar	RMD
Ramata Island	RBV	Ramata Island	RBV
Ramechhap	RHP	Ramechhap	RHP
Ramingining	RAM	Ramingining	RAM
Rampart	RMP	Rampart	RMP
Ramsar	RZR	Ramsar	RZR
Ramstein	RMS	Air Base	RMS
Ranau	RNU	Ranau	RNU
Rangely	RNG	Rangely	RNG
Ranger	RGR	Municipal	RGR
Rangiroa	RGI	Rangiroa	RGI
Ransiki	RSK	Abresso	RSK
Rapid City	RAP	Metropolitan Area	RAP
Rapid City	RAP	Regional	RAP
Rapid City	RAP	Ellsworth AFB	RCA
Raroia	RRR	Raroia	RRR
Rarotonga Island	RAR	Rarotonga Island	RAR
Ras al Khaimah	RKT	Al Hamra SPB	RHR
Ras al Khaimah	RKT	International	RKT
Rasht	RAS	Sandra-e-Jangal	RAS
Ratanakiri	RBE	Ratanakiri	RBE
Ratnagiri	RTC	Ratnagiri	RTC
Raton	RTN	Municipal (Crews Fld)	RTN
Raufarhofn	RFN	Raufarhofn	RFN
Ravenna	RAN	Ravenna	RAN
Ravensthorpe	RVT	Ravensthorpe	RVT
Rawala Kot	RAZ	Rawala Kot	RAZ
Rawdah	RXA	Rawdah	RXA
Rawlins	RWL	Municipal (Harvey Fld)	RWL
Reading	RDG	Regional	RDG
Reao	REA	Reao	REA
Rebun	RBJ	Rebun	RBJ
Rechlin	REB	Laerz	REB
Recife	REC	Guararapes Intl	REC
Reconquista	RCQ	Reconquista	RCQ
Red Bluff	RBL	Municipal	RBL
Red Devil	RDV	Red Devil	RDV
Red Dog	RDB	Red Dog	RDB
Redang Island	RDN	Redang Island	RDN
Redcliffe	RCL	Redcliffe	RCL
Redding	RDD	Benton Field	BZF
Redding	RDD	Municipal	RDD
Redencao	RDC	Redencao	RDC
Redmond/Bend	RDM	Roberts Field	RDM
Redwood Falls	RWF	Municipal	RWF
Reed City	RCT	Nartron Field	RCT
Reedsville/Lewistown	RED	Mifflin County	RED
Refugio	RFG	Rooke Field	RFG
Reggio di Calabria	REG	Reggio di Calabria	REG
Regina	REI	Regina	REI
Reims	RHE	Champagne	RHE
Reivilo	RVO	Reivilo	RVO
Reko Diq	REQ	Reko Diq	REQ
Rengat	RGT	Japura	RGT
Renmark	RMK	Renmark	RMK
Rennell Island	RNL	Tigoa	RNL
Rennes	RNS	St Jacques	RNS
Reno	RNO	Reno/Tahoe Intl	RNO
Rensselaer	RNZ	Jasper County	RNZ
Renton	RNT	Municipal	RNT
Resende	REZ	Resende	REZ
Resistencia	RES	Resistencia	RES
Retalhuleu	RER	Retalhuleu	RER
Reus	REU	Reus	REU
Rewa	REW	Chorhata	REW
Rexburg	RXE	Madison County	RXE
Reyes	REY	Reyes	REY
Reykholar	RHA	Reykholar	RHA
Reykjavik	REK	Keflavik International	KEF
Reykjavik	REK	Metropolitan Area	REK
Reykjavik	REK	Reykjavik Domestic	RKV
Reynosa	REX	Lucio Blanco Intl	REX
Rhinelander	RHI	Oneida County	RHI
Rhodes	RHO	Diagoras	RHO
Ribeirao Preto	RAO	Leite Lopes	RAO
Riberalta	RIB	Riberalta	RIB
Rice Lake	RIE	Regional-Carl's Field	RIE
Richards Bay	RCB	Richards Bay	RCB
Richard-Toll	RDT	Richard-Toll	RDT
Richfield	RIF	Municipal	RIF
Richland	RLD	Richland	RLD
Richmond	RCM	Richmond	RCM
Richmond	RIC	International	RIC
Richmond	RID	Municipal	RID
Rifle	RIL	Garfield County Rgnl	RIL
Riga	RIX	International	RIX
Rijeka	RJK	Rijeka	RJK
Rimatara	RMT	Rimatara	RMT
Rimini	RMI	Miramare	RMI
Rincon de los Sauces	RDS	Rincon de Los Sauces	RDS
Ringgi Cove	RIN	Ringgi Cove	RIN
Rio Branco	RBR	Placido de Castro Intl	RBR
Rio Cuarto	RCU	Las Higueras	RCU
Rio de Janeiro	RIO	Galeao-A.C.Jobim Intl	GIG
