Search results for "S"
CITY NAME	3-LETTER CITY CODE	AIRPORT NAME	3-LETTER AIRPORT CODE
Aktau	SCO	Aktau	SCO
Al Thaurah	SOR	Al Thaurah	SOR
Alto Boa Vista	SWM	Suia-Missu	SWM
Bengkalis	SEQ	Sei Pakning	SEQ
Berlin	BER	Schoenefeld	SXF
Brunswick	SSI	Golden Isles	BQK
Brunswick	SSI	Metropolitan Area	SSI
Brunswick	SSI	Malcolm McKinnon	SSI
Cerro Sombrero	SMB	Franco Bianco	SMB
Dipayal Silgadhi	SIH	Doti	SIH
Evensk	SWV	Severo-Evensk	SWV
Fairfield	SUU	Travis AFB	SUU
Fayetteville/Springd.	FYV	Springdale Municipal	SPZ
Fort Wayne	FWA	Smith Field	SMD
Gabriola Island	SYF	Silva Bay SPB	SYF
Giza	SPX	Sphinx International	SPX
Greenville	SNI	R.E. Murray	SNI
Greenville/Spartanburg	GSP	Spartanb. Downtown Mem	SPA
Hailey/Sun Valley	SUN	Friedman Memorial	SUN
Heviz	SOB	Balaton	SOB
Ho Chi Minh City	SGN	Tan Son Nhat Intl	SGN
Houston	HOU	Sugar Land Regional	SGR
Inda Selassie	SHC	Shire	SHC
Istanbul	IST	Sabiha Gokcen	SAW
Jingzhou	SHS	Shashi	SHS
Kangerlussuaq	SFJ	Kangerlussuaq	SFJ
Knob Noster	SZL	Whiteman AFB	SZL
Koundara	SBI	Sambailo	SBI
Kuala Lumpur	KUL	Sultan Abdul Aziz Shah	SZB
Kuito	SVP	Kuito	SVP
La Sarre	SSQ	La Sarre	SSQ
Lamezia Terme	SUF	Airport	SUF
London	LON	Southend	SEN
London	LON	Stansted	STN
Louisville	SDF	Bowman Field	LOU
Louisville	SDF	Metropolitan Area	SDF
Louisville	SDF	Intl-Standiford Fld	SDF
Lubango	SDD	Mukanka	SDD
Luganville	SON	Santo-Pekoa Intl	SON
Mahe Island	SEZ	Seychelles Intl	SEZ
Malabo	SSG	International	SSG
Manila	MNL	Danilo Atienza AB	SGL
Manzini	MTS	King Mswati III Intl	SHO
M'banza Congo	SSY	M'banza Congo	SSY
Menongue	SPP	Menongue	SPP
Milikapiti	SNB	Snake Bay	SNB
Minneapolis/St Paul	MSP	St Paul Downtown Apt	STP
Montague/Yreka	SIY	Rohrer Field	ROF
Montague/Yreka	SIY	Metropolitan Area	SIY
Montague/Yreka	SIY	Siskiyou County	SIY
Mont-Dauphin	SCP	St Crepin	SCP
Moscow	MOW	Sheremetyevo	SVO
Nakashibetsu	SHB	Nakashibetsu	SHB
New York	NYC	Stewart International	SWF
Nunam Iqua	SXP	Sheldon Point	SXP
Orlando	ORL	Sanford Intl	SFB
Parapat	SIW	Sibisa	SIW
Pawtucket	SFZ	North Central State	SFZ
Phoenix	PHX	Scottsdale Apt	SCF
Piedras	SQB	Santa Ana	SQB
Pinehurst/South. Pines	SOP	Moore County	SOP
Prudhoe Bay/Deadhorse	SCC	Deadhorse	SCC
Rio de Janeiro	RIO	Santos Dumont	SDU
Rio de Janeiro	RIO	Santa Cruz AB	SNZ
Saarbruecken	SCN	Metropolitan Area	SCN
Saarbruecken	SCN	Saarbruecken Airport	SCN
Saarbruecken	SCN	Zweibruecken	ZQW
Saba	SAB	Juancho E. Yrausquin	SAB
Sabah	SBV	Sabah	SBV
Sabana de Torres	SNT	Las Cruces	SNT
Sabang	SBG	Maimun Saleh	SBG
Sabetta	SBT	International	SBT
Sacramento	SAC	McClellan	MCC
Sacramento	SAC	Mather	MHR
Sacramento	SAC	Metropolitan Area	SAC
Sacramento	SAC	Executive	SAC
Sacramento	SAC	Stockton Metropolitan	SCK
Sacramento	SAC	International	SMF
Sadah	SYE	Sadah	SYE
Sado	SDS	Sado	SDS
Safford	SAD	Regional	SAD
Safia	SFU	Safia	SFU
