Search results for "T"
CITY NAME	3-LETTER CITY CODE	AIRPORT NAME	3-LETTER AIRPORT CODE
Aitape	ATP	Tadji	TAJ
Al Fallujah	TQD	Al Taqaddum AB	TQD
Amarillo	AMA	Tradewind	TDW
Ankisatra	TZO	Tsimiroro	TZO
Antananarivo	TNR	Ivato Intl	TNR
Astana	TSE	International	TSE
Bandar Lampung	TKG	Radin Inten II	TKG
Belize City	BZE	Municipal	TZA
Berlin	BER	Tegel	TXL
Bor	TGP	Podkamennaya Tunguska	TGP
Bristol/Johnson/Kingsp	TRI	Tri-Cities Regional TN	TRI
Britton	TTO	Municipal	TTO
Caro	TZC	Tuscola Area	TZC
Catalao	TLZ	Catalao	TLZ
Cheadle	TIL	Cheadle	TIL
Chokwe	TGS	Chokwe	TGS
Chuuk	TKK	International	TKK
Daegu	TAE	International	TAE
Dashoguz	TAZ	Dashoguz	TAZ
Dawei	TVY	Dawei	TVY
Fort Leonard Wood	TBN	Waynesvl-St Robert Rgn	TBN
Huangshan	TXN	Tunxi Intl	TXN
Jinan	TNA	Yaoqiang Intl	TNA
Kigoma	TKQ	Kigoma	TKQ
King George Island	TNM	Tte. R. Marsh Martin	TNM
Knoxville	TYS	McGhee Tyson	TYS
Kuala Terengganu	TGG	Sultan Mahmud	TGG
Kulob	TJU	Kulob	TJU
Madrid	MAD	Torrejon	TOJ
Mexico City	MEX	Toluca-A.Lopez Mateos	TLC
Miami	MIA	Miami Executive	TMB
Miami	MIA	Dade-Collier T&T Apt	TNT
Morafenobe	TVA	Morafenobe	TVA
Mount Cook	MON	Pukaki (Twizel)	TWZ
Nanuya Levu	TTL	Turtle Island SPB	TTL
Newton	TNU	Municipal	TNU
Nuku'alofa	TBU	Fua'amotu Intl	TBU
Oklahoma City	OKC	Tinker AFB	TIK
Oran	ORN	Tafaraoui	TAF
Oslo	OSL	Sandefjord-Torp	TRF
Philadelphia	PHL	Trenton-Mercer	TTN
Pituffik	THU	Thule Air Base	THU
Plastun	TLY	Plastun	TLY
Podgorica	TGD	Podgorica	TGD
Poprad	TAT	Tatry	TAT
Port Townsend	TWD	Jefferson County Intl	TWD
Portland	PDX	Troutdale	TTD
Qingdao	TAO	Liuting Intl	TAO
