Search results for "U"
CITY NAME	3-LETTER CITY CODE	AIRPORT NAME	3-LETTER AIRPORT CODE
Adana	ADA	Incirlik AB	UAB
Al Ula	ULH	Majeed Bin Abdulaziz	ULH
Baruun-Urt	UUN	Baruun-Urt	UUN
Bilogai	UGU	Bilogai	UGU
Bouarfa	UAR	Bouarfa	UAR
Buchanan	UCN	Buchanan	UCN
Bugulma	UUA	Bugulma	UUA
Buin	UBI	Buin	UBI
Bulagtai	UGT	Bulagtai	UGT
Bulgan	UGA	Bulgan	UGA
Buol	UOL	Pogogul	UOL
Burg Feuerstein	URD	Burg Feuerstein	URD
Busuanga	USU	Francisco B. Reyes	USU
Castilho	URB	Urubupunga	URB
Columbus	UBS	AFB	CBM
Columbus	UBS	Golden Triangle Rgnl	GTR
Columbus	UBS	Metropolitan Area	UBS
Columbus	UBS	Lowndes County	UBS
Concord	USA	Regional	USA
Curuzu Cuatia	UZU	Curuzu Cuatia	UZU
Eunice	UCE	Eunice	UCE
Forks	UIL	Quillayute	UIL
Guam	GUM	Andersen AFB	UAM
Gulu	ULU	Gulu	ULU
Gurayat	URY	Gurayat	URY
Havana	HAV	Playa Baracoa	UPB
Hawi	UPP	Upolu	UPP
Hope Bay	UZM	Doris Lake Ice A/P	JOJ
Hope Bay	UZM	Hope Bay Airport	UZM
Ilha Comandatuba/Una	UNA	Ilha Comandatuba/Una	UNA
Jaluit Island	UIT	Jaluit Island	UIT
Juneau	UNU	Dodge County	UNU
Kalumburu	UBU	Kalumburu	UBU
Kharga	UVL	Kharga	UVL
Kiunga	UNG	Kiunga	UNG
Ko Samui	USM	Ko Samui	USM
Kumejima	UEO	Kumejima	UEO
Kunduz	UND	Kunduz	UND
Kuparuk	UUK	Ugnu-Kuparuk	UUK
Kuressaare	URE	Kuressaare	URE
Kursk	URS	Vostochny	URS
Lensk	ULK	Lensk	ULK
Luau	UAL	Luau	UAL
Lutsk	UCK	Lutsk	UCK
Mabaruma	USI	Mabaruma	USI
Mabuiag Island	UBB	Mabuiag Island	UBB
Makassar	UPG	Sultan Hasanuddin	UPG
Manumu	UUU	Manumu	UUU
Mercury	DRA	Yucca Airstrip	UCC
Moruroa Atoll	UOA	Moruroa Atoll	UOA
Mount Aue	UAE	Mount Aue	UAE
Mukeiras	UKR	Mukeiras	UKR
Mukhaizna	UKH	Mukhaizna	UKH
Mulatos	ULS	Mulatos	ULS
Mull	ULL	Mull	ULL
Mutare	UTA	Mutare	UTA
Muttaburra	UTB	Muttaburra	UTB
Narsarsuaq	UAK	Narsarsuaq	UAK
New Ulm	ULM	Municipal	ULM
Nuku	UKU	Nuku	UKU
Nutwood Downs	UTD	Nutwood Downs	UTD
Nyala	UYL	Nyala	UYL
Olgii	ULG	Olgii	ULG
Ondorkhaan	UNR	Ondorkhaan	UNR
Osaka	OSA	Kobe	UKB
Ouvea	UVE	Ouloup	UVE
Oxford	UOX	University-Oxford	UOX
Palm Springs	PSP	Bermuda Dunes	UDD
Pilot Point	PIP	Ugashik Bay	UGB
Punta de Maisi	UMA	Punta de Maisi	UMA
Qacha's Nek	UNE	Qacha's Nek	UNE
Quakertown	UKT	Quakertown	UKT
Queenstown	UEE	Queenstown	UEE
Queenstown	UTW	Queenstown	UTW
Quelimane	UEL	Quelimane	UEL
Quetta	UET	International	UET
Qui Nhon	UIH	Phu Cat	UIH
Quibdo	UIB	El Carano	UIB
Quilpie	ULP	Quilpie	ULP
Quimper	UIP	Pluguffan	UIP
Quince Mil	UMI	Quince Mil	UMI
Quincy	UIN	Regional (Baldwin Fld)	UIN
Quirindi	UIR	Quirindi	UIR
Quito	UIO	Mariscal Sucre Intl	UIO
Quoin Hill	UIQ	Quoin Hill	UIQ
Quthing	UTG	Quthing	UTG
Ranong	UNN	Ranong	UNN
Rouen	URO	Vallee de Seine	URO
Samburu	UAS	Buffalo Spring	UAS
San Juan	UAQ	Domingo F. Sarmiento	UAQ
San Julian	ULA	Capitan J.D. Vazquez	ULA
San Luis Rio Colorado	UAC	San Luis Rio Colorado	UAC
Sancti Spiritus	USS	Sancti Spiritus	USS
Sevastopol	UKS	Belbek	UKS
Sewanee	UOS	Franklin County	UOS
St Augustine	UST	Northeast Florida Rgnl	UST
St Lucia	SLU	Hewanorra Intl	UVF
Suai	UAI	Suai	UAI
Sule	ULE	Sule	ULE
Summit	UMM	Summit	UMM
Sumy	UMY	Sumy	UMY
Surat Thani	URT	Surat Thani	URT
Tulua	ULQ	Heriberto Gil Martinez	ULQ
Tunica	UTM	Municipal	UTM
Ua Huka	UAH	Ua Huka	UAH
Ua Pou	UAP	Ua Pou	UAP
Uaxactun	UAX	Uaxactun	UAX
Ubatuba	UBT	Gastao Madeira	UBT
Ube	UBJ	Yamaguchi-Ube	UBJ
Uberaba	UBA	M. de Almeida Franco	UBA
Uberlandia	UDI	Cesar Bombonato	UDI
Ubon Ratchathani	UBP	Ubon Ratchathani	UBP
Ubrub	UBR	Ubrub	UBR
Udaipur	UDR	Maharana Pratap	UDR
Uden	UDE	Volkel AB	UDE
Udine	UDN	Campoformido	UDN
Udon Thani	UTH	International	UTH
Ufa	UFA	Ufa	UFA
Uganik	UGI	San Juan (Uganik) SPB	UGI
Ugashik	UGS	Ugashik	UGS
Uherske Hradiste	UHE	Kunovice	UHE
Uige	UGO	Uige	UGO
Uiju	UJU	Uiju	UJU
Ujae Island	UJE	Ujae Island	UJE
Ukhta	UCT	Ukhta	UCT
Ukiah	UKI	Municipal	UKI
Ukunda	UKA	Diani	UKA
Ulaanbaatar	ULN	Chinggis Khaan Intl	ULN
Ulaangom	ULO	Ulaangom	ULO
Ulanqab	UCB	Ulanqab	UCB
Ulan-Ude	UUD	Mukhino	UUD
Ulei	ULB	Ulei	ULB
Uliastai	ULZ	Donoi	ULZ
Ulithi	ULI	Ulithi	ULI
Uljin	UJN	Uljin	UJN
Ulsan	USN	Ulsan	USN
Ulundi	ULD	Prince M. Buthelezi	ULD
Ulusaba	ULX	Ulusaba	ULX
Ulyanovsk	ULY	Baratayevka	ULV
Ulyanovsk	ULY	Vostochny	ULY
Umba	UMC	Umba	UMC
Umea	UME	Umea	UME
Umiat	UMT	Umiat	UMT
Umtata	UTT	K.D. Matanzima	UTT
Umuarama	UMU	Orlando de Carvalho	UMU
Unalakleet	UNK	Unalakleet	UNK
Unayzah	UZH	Unayzah	UZH
Undara	UDA	Undara	UDA
Unguia	UNC	Unguia	UNC
Union City	UCY	Everett-Stewart Rgnl	UCY
Union Island	UNI	Union Island	UNI
Unst	UNT	Baltasound	UNT
Upala	UPL	Upala	UPL
Upavon	UPV	Upavon	UPV
Upiara	UPR	Upiara	UPR
Upington	UTN	Upington	UTN
Uralsk	URA	Ak Zhol	URA
Uray	URJ	Uray	URJ
Urdzhar	UZR	Urdzhar	UZR
Urengoy	UEN	Urengoy	UEN
