Search results for "V"
CITY NAME	3-LETTER CITY CODE	AIRPORT NAME	3-LETTER AIRPORT CODE
Abingdon	VJI	Virginia Highlands	VJI
Anglesey	VLY	Valley	VLY
Ann	VBA	Ann	VBA
Baimuru	VMU	Baimuru	VMU
Barakoma	VEV	Barakoma	VEV
Bokpyin	VBP	Bokpyin	VBP
Camp Douglas	VOK	Volk Field	VOK
Can Tho	VCA	International	VCA
Carora	VCR	Carora	VCR
Chevak	VAK	Chevak	VAK
Chimoio	VPY	Chimoio	VPY
Chu Lai	VCL	International	VCL
Con Dao Island	VCS	Co Ong	VCS
Dakhla	VIL	Dakhla	VIL
Destin/Ft Walton Beach	VPS	Destin Executive	DSI
Destin/Ft Walton Beach	VPS	Metropolitan Area	VPS
Destin/Ft Walton Beach	VPS	Destin-Ft Walton Beach	VPS
Dong Hoi	VDH	Dong Hoi	VDH
Durban	DUR	Virginia	VIR
El Vigia	VIG	Juan P. Perez Alfonso	VIG
Fagernes	VDB	Leirin	VDB
General Villegas	VGS	General Villegas	VGS
Grand Canyon	GCN	Valle	VLE
Gurue	VJQ	Gurue	VJQ
Illizi	VVZ	Takhamalt	VVZ
Jacksonville	JAX	Cecil	VQQ
Las Tunas	VTU	Hermanos Ameijeiras	VTU
Las Vegas	LAS	North Las Vegas Arpt	VGT
Lichinga	VXC	Lichinga	VXC
Liwonde	VUU	Mvuu Camp	VUU
Lompoc	LPC	Vandenberg AFB	VBG
Los Angeles	LAX	Van Nuys	VNY
Luhansk	VSG	International	VSG
Maamigili Island	VAM	Maamigili Island	VAM
Mahanoro	VVB	Mahanoro	VVB
Maikwak	VEG	Maikwak	VEG
Malvinas	VVN	Malvinas	VVN
Mandalay	MDL	Chan Mya Thazi	VBC
Moscow	MOW	Vnukovo	VKO
Nevatim	VTM	AFB	VTM
Ondjiva	VPE	Ondjiva	VPE
Ovda	VDA	Ovda	VDA
Paris	PAR	Villacoublay-Velizy	VIY
Peru	VYS	Illinois Valley Rgnl	VYS
Phuoclong	VSO	Phuoclong	VSO
Port Vila	VLI	Bauerfield Intl	VLI
Prague	PRG	Vodochody	VOD
Puerto Valle Mi	VMI	Dr.Juan Plate	VMI
Rach Gia	VKG	Rach Gia	VKG
Rolla/Vichy	VIH	Rolla National	VIH
