Search results for "W"
CITY NAME	3-LETTER CITY CODE	AIRPORT NAME	3-LETTER AIRPORT CODE
Airlie Beach/Shute Hbr	WSY	Whitsunday	WSY
Aleknagik	WKK	Aleknagik	WKK
Alto Palena	WAP	Alto Palena	WAP
Ambatondrazaka	WAM	Ambatondrazaka	WAM
Andriamena	WAD	Andriamena	WAD
Ankazoabo	WAK	Ankazoabo	WAK
Ankorefo	WOR	Moramba	WOR
Antsalova	WAQ	Antsalova	WAQ
Antsohihy	WAI	Ambalabe	WAI
Bealanana	WBE	Ankaizina	WBE
Beaver	WBQ	Beaver	WBQ
Befandriana	WBD	Befandriana	WBD
Bergen op Zoom	WOE	Woensdrecht AB	WOE
Beroroha	WBO	Antsoa	WBO
Big Rapids	WBR	Roben-Hood	WBR
Boulder	WBU	Municipal	WBU
Cape Sarichef	WSF	Cape Sarichef	WSF
Castro	WCA	Mocopulli	MHC
Castro	WCA	Gamboa	WCA
Chaiten	WCH	Chaiten	WCH
Chandalar Lake	WCR	Chandalar Lake	WCR
Enid	WDG	Vance AFB	END
Enid	WDG	Metropolitan Area	WDG
Enid	WDG	Woodring Regional	WDG
Fianarantsoa	WFI	Fianarantsoa	WFI
Franz Josef Glacier	WHO	Franz Josef Glacier	WHO
Frenchville	WFK	Northern Aroostook Rgl	WFK
Hwange	WKI	Hwange	WKI
Hyder	WHD	Sea Plane Base	WHD
Ketchikan	KTN	Harbor SPB	WFB
Lancaster	WJF	General William J. Fox	WJF
Loring	WLR	Sea Plane Base	WLR
Los Angeles	LAX	Whiteman	WHP
Madirovalo	WMV	Madirovalo	WMV
Malaimbandy	WML	Malaimbandy	WML
Mampikony	WMP	Mampikony	WMP
Manakara	WVK	Manakara	WVK
Mananara Avaratra	WMR	Mananara Avaratra	WMR
Mandabe	WMD	Mandabe	WMD
Mandritsara	WMA	Mandritsara	WMA
Maroantsetra	WMN	Maroantsetra	WMN
Meyers Chuck	WMK	Sea Plane Base	WMK
Miles	WLE	Miles	WLE
Mount Keith	WME	Mount Keith	WME
Mountain Home	WMH	Ozark Regional	WMH
Murrin	WUI	Murrin	WUI
Naga	WNP	Naga	WNP
Nairobi	NBO	Wilson	WIL
Napakiak	WNA	Napakiak	WNA
Nawabshah	WNS	Nawabshah	WNS
Newtok	WWT	Newtok	WWT
Noatak	WTK	Noatak	WTK
Nowy Dwor Mazowiecki	WMI	Modlin	WMI
Paonia	WPO	North Fork Valley	WPO
