Search results for "Z"
CITY NAME	3-LETTER CITY CODE	AIRPORT NAME	3-LETTER AIRPORT CODE
108 Mile Ranch	ZMH	South Cariboo Regional	ZMH
Alice Arm	ZAA	Silver City SPB	ZAA
Ancud	ZUD	Pupelde	ZUD
Andapa	ZWA	Andapa	ZWA
Baku	BAK	Zabrat	ZXT
Bathurst	ZBF	Bathurst	ZBF
Bella Bella	ZEL	Shearwater SPB	YSX
Bella Bella	ZEL	Campbell Island	ZEL
Biloela	ZBL	Biloela	ZBL
Bowen	ZBO	Bowen	ZBO
Bromont	ZBM	Roland-Desourdy	ZBM
Cahors	ZAO	Lalbenque	ZAO
Chah Bahar	ZBR	Konarak	ZBR
Churchill Falls	ZUM	Churchill Falls	ZUM
Delma Island	ZDY	Delma Island	ZDY
Eastmain	ZEM	Eastmain River	ZEM
Fairview	ZFW	Fairview	ZFW
Faro	ZFA	Faro	ZFA
Fond-du-Lac	ZFD	Fond-du-Lac	ZFD
Fort McPherson	ZFM	Fort McPherson	ZFM
Gaua Island	ZGU	Gaua Island	ZGU
Gods River	ZGI	Gods River	ZGI
Grand Forks	ZGF	Grand Forks	ZGF
High Prairie	ZHP	High Prairie	ZHP
Ignace	ZUC	Municipal	ZUC
Ixtapa/Zihuatanejo	ZIH	International	ZIH
Jenpeg	ZJG	Jenpeg	ZJG
Kasaba Bay	ZKB	Kasaba Bay	ZKB
Kashechewan	ZKE	Kashechewan	ZKE
Kegaska	ZKG	Kegaska	ZKG
La Romaine	ZGS	La Romaine	ZGS
La Tabatiere	ZLT	La Tabatiere	ZLT
Little Grand Rapids	ZGR	Little Grand Rapids	ZGR
Manzanillo	ZLO	Playa de Oro Intl	ZLO
Masset	ZMT	Masset	ZMT
Miandrivazo	ZVA	Miandrivazo	ZVA
Mzuzu	ZZU	Mzuzu	ZZU
Namu	ZNU	SPB	ZNU
Nanaimo	YCD	Harbour SPB	ZNA
Newman	ZNE	Newman	ZNE
Ngoma	ZGM	Ngoma	ZGM
Nyac	ZNC	Nyac	ZNC
Ocean Falls	ZOF	SPB	ZOF
Osorno	ZOS	Canal Bajo	ZOS
Pasir Gudang	ZLW	Pasir Gudang Port	ZLW
Pinehouse	ZPO	Pinehouse Lake	ZPO
Prince Rupert	YPR	Seal Cove SPB	ZSW
Pucon	ZPC	Pucon	ZPC
Queen Charlotte	ZQS	SPB	ZQS
Queenstown	ZQN	Queenstown	ZQN
Round Lake	ZRJ	Weagamow Lake	ZRJ
