# id, cityname, citycode, airportname, airportcode
1455,Aachen,AAH,Merzbrueck,AAH
1456,Aalborg,AAL,Airport,AAL
1457,Aarhus,AAR,Airport,AAR
1458,Aba/Hongyuan,AHJ,Aba/Hongyuan,AHJ
1459,Abadan,ABD,Abadan,ABD
1460,Abaiang,ABF,Abaiang,ABF
1461,Abakan,ABA,Abakan,ABA
1462,Abau,ABW,Abau,ABW
1463,Abeche,AEH,Abeche,AEH
1464,Abemama,AEA,Abemama,AEA
1465,Aberdeen,ABR,Regional,ABR
1466,Aberdeen,ABZ,Dyce,ABZ
1467,Aberdeen,APG,Phillips AAF,APG
1468,Abha,AHB,Abha,AHB
1469,Abidjan,ABJ,Felix Houphouet-Boigny,ABJ
1470,Abilene,ABI,Regional,ABI
1471,Abilene,ABI,Dyess AFB,DYS
1472,Abingdon Downs,ABG,Abingdon Downs,ABG
1473,Aboisso,ABO,Aboisso,ABO
1474,Abou Deia,AOD,Abou Deia,AOD
1475,Abu Dhabi,AUH,International,AUH
1476,Abu Dhabi,AUH,Yas Island SPB,AYM
1477,Abu Dhabi,AUH,Bateen,AZI
1478,Abu Dhabi,AUH,Al Dhafra AB,DHF
1479,Abu Musa Island,AEU,Abu Musa Island,AEU
1480,Abu Rudeis,AUE,Abu Rudeis,AUE
1481,Abu Simbel,ABS,Abu Simbel,ABS
1482,Abuja,ABV,Nnamdi Azikiwe Intl,ABV
1483,Acandi,ACD,Alcides Fernandez,ACD
1484,Acapulco,ACA,Juan N. Alvarez Intl,ACA
1485,Acaricuara,ARF,Acaricuara,ARF
1486,Acarigua,AGV,Oswaldo Guevara Mujica,AGV
1487,Accra,ACC,Kotoka Intl,ACC
1488,Achinsk,ACS,Achinsk,ACS
1489,Achutupo,ACU,Achutupo,ACU
1490,Ada,ADT,Municipal,ADT
1491,Adak Island,ADK,Adak Island,ADK
1492,Adam,AOM,Adam,AOM
1493,Adana,ADA,Sakirpasa,ADA
1494,Adana,ADA,Incirlik AB,UAB
1495,Adareil,AEE,Adareil,AEE
1496,Addeain,ADV,Addeain,ADV
1497,Addis Ababa,ADD,Bole Intl,ADD
1498,Adelaide,ADL,International,ADL
1499,Aden,ADE,International,ADE
1500,Adiyaman,ADF,Adiyaman,ADF
1501,Adrar,AZR,Touat,AZR
1502,Adrian,ADG,Lenawee County,ADG
1503,Afore,AFR,Afore,AFR
1504,Afton,AFO,Municipal,AFO
1505,Afutara,AFT,Afutara,AFT
1506,Afyon,AFY,Afyon,AFY
1507,Agadez,AJY,Manu Dayak Intl,AJY
1508,Agadir,AGA,Al Massira,AGA
1509,Agatti Island,AGX,Agatti Island,AGX
1510,Agaun,AUP,Agaun,AUP
